29	79	1	7	30	52.5	0.5992	0	0.644	0
29	79	1	7	40	52.5	0.5992	0	0.616	0
29	79	1	7	15	52.5	0.7985	0	0.851	0
29	79	1	7	20	52.5	0.7985	0	0.841	0
29	79	1	7	25	52.5	0.7985	0	0.834	0
29	79	1	7	30	52.5	0.7985	0	0.826	0
29	79	1	7	40	52.5	0.7985	0	0.815	0
79	29	3	7	15	52.5	0.2012	0	0.145	0
79	29	3	7	20	52.5	0.2012	0	0.158	0
79	29	3	7	25	52.5	0.2012	0	0.154	0
79	29	3	7	30	52.5	0.2012	0	0.157	0
79	29	3	7	15	52.5	0.401	0	0.312	0
79	29	3	7	20	52.5	0.401	0	0.333	0
79	29	3	7	25	52.5	0.401	0	0.331	0
79	29	3	7	30	52.5	0.401	0	0.331	0
79	29	3	7	15	52.5	0.6036	0	0.511	0
79	29	3	7	20	52.5	0.6036	0	0.531	0
79	29	3	7	25	52.5	0.6036	0	0.529	0
79	29	3	7	30	52.5	0.6036	0	0.533	0
79	29	3	7	15	52.5	0.8015	0	0.74	0
79	29	3	7	20	52.5	0.8015	0	0.752	0
79	29	3	7	25	52.5	0.8015	0	0.745	0
79	29	3	7	30	52.5	0.8015	0	0.754	0
79	29	3	7	35	52.5	0.8015	0	0.758	0
79	29	3	7	40	52.5	0.8015	0	0.751	0
79	29	5	7	10	52.5	0.2012	0	0.154	0
79	29	5	7	20	52.5	0.2012	0	0.14	0
79	29	5	7	30	52.5	0.2012	0	0.122	0
79	29	5	7	40	52.5	0.2012	0	0.11	0
79	29	5	7	10	52.5	0.401	0	0.332	0
79	29	5	7	20	52.5	0.401	0	0.304	0
79	29	5	7	30	52.5	0.401	0	0.275	0
79	29	5	7	40	52.5	0.401	0	0.253	0
79	29	5	7	10	52.5	0.6036	0	0.531	0
79	29	5	7	20	52.5	0.6036	0	0.5	0
79	29	5	7	30	52.5	0.6036	0	0.462	0
79	29	5	7	40	52.5	0.6036	0	0.428	0
79	29	5	7	10	52.5	0.8015	0	0.749	0
79	29	5	7	20	52.5	0.8015	0	0.728	0
79	29	5	7	30	52.5	0.8015	0	0.704	0
79	29	5	7	40	52.5	0.8015	0	0.675	0
79	29	3	7	13	40	0.3	0	0.2319	0
79	29	3	7	13	40	0.508	0	0.4174	0
29	79	1	7	13	40	0.7	0	0.7758	0
29	79	1	7	13	40	0.492	0	0.585	0
47	79	4	7	15	52.5	0.1996	0	0.167	0
47	79	4	7	20	52.5	0.1996	0	0.146	0
47	79	4	7	30	52.5	0.1996	0	0.112	0
47	79	4	7	40	52.5	0.1996	0	0.0898	0
47	79	4	7	15	52.5	0.3992	0	0.349	0
47	79	4	7	20	52.5	0.3992	0	0.312	0
47	79	4	7	30	52.5	0.3992	0	0.253	0
47	79	4	7	40	52.5	0.3992	0	0.209	0
47	79	4	7	15	52.5	0.5993	0	0.548	0
47	79	4	7	20	52.5	0.5993	0	0.506	0
47	79	4	7	30	52.5	0.5993	0	0.436	0
47	79	4	7	40	52.5	0.5993	0	0.368	0
47	79	4	7	15	52.5	0.7758	0	0.742	0
47	79	4	7	20	52.5	0.7758	0	0.7	0
47	79	4	7	30	52.5	0.7758	0	0.645	0
47	79	4	7	40	52.5	0.7758	0	0.574	0
