K-M3,NIST-Chantler 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elm,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U
,Z,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
F,9,###,###,###,###,###,###,8082.51253,4681.016793,2805.471865,1713.253799,1094.38898,711.144863,481.388803,332.172986,230.597596,162.169116,116.267128,84.768184,62.801103,47.187015,35.917707,27.661939,21.536942,16.938396,13.445559,10.744475,8.59425,6.915883,5.603565,4.569767,3.749629,3.086602,2.552961,2.120194,1.769993,1.484022,1.2499,1.057208,0.897539,0.764904,0.654388,0.561621,0.483591,0.417681,0.361842,0.313654,0.272452,0.237153,0.206953,0.181036,0.158744,0.13948,0.122845,0.108415,0.095855,0.084898,0.075334,0.06697,0.059643,0.053194,0.047523,0.042527,0.038103,0.034189,0.030724,0.027651,0.024904,0.022467,0.020285,0.018349,0.016612,0.015054,0.013656,0.0124,0.011271,0.010254,0.009339,0.008512,0.007765,0.00709,0.006479,0.005925,0.00542,0.004963,0.004547,0.004168,0.003824,0.00351,0.003223
Ne,10,###,###,###,###,###,###,661.115298,6364.926995,3860.741341,2383.71766,1527.560266,996.110958,676.11601,468.882563,330.196642,234.795458,168.699439,123.255222,91.498688,68.881935,52.529584,40.526331,31.607747,24.899498,19.796554,15.841971,12.683727,10.215361,8.283134,6.76019,5.551043,4.583693,3.807779,3.176818,2.663265,2.239495,1.887597,1.597773,1.357429,1.157554,0.990851,0.850888,0.733067,0.633489,0.549083,0.476283,0.414014,0.360638,0.314941,0.275697,0.241916,0.212705,0.187463,0.165551,0.146466,0.129806,0.115256,0.102525,0.091365,0.081536,0.072888,0.065264,0.058509,0.052529,0.047232,0.04253,0.038327,0.034596,0.031253,0.028284,0.025621,0.02323,0.021085,0.019156,0.01742,0.015859,0.014453,0.013185,0.012043,0.011007,0.01007,0.00922,0.008444,0.00774,0.0071,0.006515,0.005984,0.005498,0.005055
Na,11,###,###,###,###,###,###,891.438045,498.622984,5060.378667,2785.663926,1831.031755,1245.867863,849.585195,589.828152,415.934489,297.175837,216.285124,159.971388,119.360238,89.911416,68.60745,52.962122,41.329335,32.576144,25.913816,20.747428,16.617609,13.387948,10.860048,8.866471,7.283022,6.015768,4.999059,4.172002,3.499697,2.948148,2.494387,2.11929,1.807081,1.546628,1.328648,1.144615,0.987148,0.853365,0.739917,0.642306,0.55879,0.487138,0.425728,0.372945,0.327474,0.288127,0.254105,0.224556,0.198802,0.176302,0.156639,0.139419,0.124319,0.111015,0.099299,0.088963,0.0798,0.071686,0.064493,0.058106,0.052392,0.047318,0.042769,0.038727,0.035099,0.03184,0.028914,0.026283,0.023914,0.021778,0.019852,0.018111,0.016536,0.01511,0.01382,0.01265,0.011582,0.010613,0.009732,0.008928,0.008198,0.00753,0.006921
Mg,12,###,###,###,###,###,###,1245.876843,696.481792,406.80447,3800.225008,2386.176617,1582.088561,1097.492842,768.779945,543.268841,388.914967,283.5796,210.12563,158.088505,120.538743,92.526317,71.511336,55.86911,44.085262,35.106762,28.137569,22.561463,18.195565,14.775473,12.074485,9.927988,8.208377,6.827412,5.70309,4.788276,4.037108,3.418689,2.907057,2.480752,2.124866,1.826906,1.575544,1.363099,1.182804,1.029343,0.896117,0.781178,0.681477,0.596003,0.522494,0.459129,0.404253,0.356765,0.315493,0.279496,0.248017,0.220485,0.196347,0.175169,0.156499,0.140051,0.125535,0.112659,0.101251,0.091134,0.082147,0.074103,0.066955,0.060545,0.054846,0.04973,0.045132,0.041003,0.037286,0.033939,0.030919,0.028197,0.025735,0.023507,0.021488,0.019661,0.018002,0.016489,0.015116,0.013867,0.012726,0.01169,0.010741,0.009877
Al,13,###,###,###,###,###,###,1632.127715,919.906691,542.328366,329.820556,2904.670479,1889.735466,1303.020505,919.815623,656.942591,471.179621,344.086014,255.323642,192.363523,146.871989,113.529572,88.717559,69.725184,55.08458,43.916721,35.241975,28.304556,22.866943,18.598431,15.224185,12.536718,10.381322,8.647617,7.234035,6.082212,5.135126,4.354416,3.707551,3.167988,2.716929,2.338775,2.019438,1.74921,1.519607,1.323953,1.153783,1.007404,0.881252,0.772815,0.679186,0.597719,0.526735,0.464974,0.411285,0.364448,0.323494,0.287672,0.256274,0.228715,0.204409,0.182993,0.16409,0.147309,0.13243,0.119231,0.107501,0.096998,0.087663,0.079291,0.071845,0.065158,0.059147,0.053747,0.048888,0.044509,0.040558,0.036995,0.033773,0.030855,0.028212,0.025818,0.023646,0.021663,0.019862,0.018225,0.016729,0.01537,0.014126,0.012992
Si,14,###,###,###,###,###,###,2177.315404,1224.317818,717.208225,438.064215,282.360354,2361.175022,1619.321664,1144.315144,821.811526,597.765961,438.033426,324.893544,244.676146,186.738176,144.286169,112.734993,88.993217,70.928978,56.815412,45.655378,36.725906,29.717953,24.208945,19.847481,16.368661,13.573284,11.322245,9.484645,7.985341,6.750829,5.731756,4.886427,4.18038,3.589464,3.093501,2.674161,2.318915,2.016755,1.759011,1.534008,1.340173,1.17291,1.029088,0.905012,0.79771,0.704503,0.623606,0.553089,0.491356,0.436209,0.387963,0.345665,0.308535,0.275784,0.24692,0.221439,0.198824,0.178775,0.160987,0.145175,0.131017,0.118431,0.107142,0.097102,0.088085,0.079979,0.072697,0.066141,0.060233,0.054901,0.050091,0.045739,0.041799,0.038227,0.034993,0.032057,0.029375,0.026941,0.024726,0.022702,0.020863,0.01918,0.017643
P,15,###,###,###,###,###,###,2682.340587,1504.181377,877.308764,533.999254,343.325861,226.187564,1866.819541,1315.733795,946.649046,690.901345,512.689037,384.043601,289.170655,220.676659,170.498872,133.203304,105.145724,83.793589,67.368543,54.516533,44.064636,35.714307,29.129638,23.909764,19.741903,16.389585,13.686962,11.477905,9.673551,8.18644,6.95767,5.937466,5.08446,4.369842,3.769505,3.261542,2.830797,2.464077,2.150979,1.876457,1.639673,1.435183,1.259278,1.107507,0.976279,0.862269,0.7633,0.677033,0.601572,0.535415,0.477392,0.426401,0.381321,0.341194,0.305704,0.274266,0.246352,0.221594,0.199623,0.180088,0.162589,0.147027,0.133061,0.120634,0.109468,0.099423,0.090397,0.082268,0.074939,0.068326,0.062359,0.05696,0.052073,0.047641,0.043626,0.03998,0.036648,0.033622,0.030869,0.028353,0.026066,0.023971,0.022058
S,16,###,###,###,###,###,###,3415.003086,1915.601922,1115.901368,678.721857,436.272598,287.522177,198.24803,1578.570968,1139.696702,833.502075,619.315995,467.085692,357.089544,272.961524,211.113098,165.091521,130.450629,104.064116,83.743091,67.826721,55.035103,44.917469,36.80024,30.23197,24.977661,20.748521,17.337206,14.54685,12.26663,10.386696,8.832585,7.541435,6.461304,5.555989,4.795093,4.150891,3.604407,3.138959,2.741409,2.392288,2.090955,1.830559,1.606564,1.413254,1.246008,1.100712,0.974588,0.864617,0.7684,0.684031,0.61002,0.544967,0.487707,0.437069,0.392324,0.35272,0.317329,0.285772,0.257637,0.232524,0.210017,0.189992,0.172015,0.156014,0.141632,0.128691,0.117057,0.106572,0.097116,0.088574,0.080862,0.073875,0.06754,0.061795,0.056589,0.051862,0.047543,0.043619,0.040049,0.036786,0.033819,0.031102,0.028621
Cl,17,###,###,###,###,###,###,3980.742858,2249.43679,1313.909282,800.159419,514.742046,339.422058,234.154503,165.719723,1260.898774,928.948674,691.897445,521.551651,398.901052,308.764679,240.244887,188.054108,148.729357,118.751401,95.644555,77.531069,62.959431,51.424366,42.272842,34.962497,29.007876,24.121514,20.166952,16.930913,14.285125,12.102302,10.296448,8.795614,7.539652,6.486472,5.600858,4.850714,4.214016,3.671509,3.207989,2.800763,2.449113,2.145085,1.883446,1.65756,1.462083,1.29215,1.144546,1.015834,0.903178,0.804337,0.717599,0.641334,0.574176,0.514755,0.462234,0.415735,0.374348,0.337553,0.304818,0.275642,0.249325,0.225757,0.204524,0.185524,0.168443,0.15307,0.139247,0.126792,0.115558,0.105409,0.096244,0.087943,0.080418,0.073593,0.067408,0.061789,0.056655,0.05199,0.047745,0.043864,0.040335,0.037101,0.034149
Ar,18,###,###,###,###,###,###,4524.787177,2558.311807,1511.278493,920.274067,591.505725,389.554387,268.35083,189.648844,134.913064,1002.168449,750.015102,566.950006,433.548108,335.504076,262.570289,207.202353,163.990572,131.030658,105.61262,85.673505,69.62218,56.906812,46.811858,38.742294,32.246145,26.98068,22.644184,19.037248,16.069924,13.620223,11.592932,9.907913,8.496927,7.313174,6.317335,5.473497,4.757019,4.146295,3.624277,3.165564,2.769307,2.426584,2.131537,1.876703,1.656081,1.464228,1.297531,1.152048,1.024656,0.912912,0.8148,0.72848,0.652441,0.585142,0.525637,0.472935,0.426007,0.384269,0.347124,0.314006,0.28426,0.257737,0.233873,0.212583,0.193347,0.175789,0.159994,0.145656,0.132724,0.121042,0.110494,0.10094,0.092273,0.084416,0.077297,0.070834,0.064929,0.059565,0.054686,0.050226,0.046172,0.042458,0.039069
