L3-M5,NIST-Chantler 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elm,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U
,Z,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
F,9,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,4440.925418,3084.402434,2213.167303,1637.349381,1240.874856,960.398984,13001.69295,10313.58878,8229.956748,6624.810222,5364.888402,4351.826133,3541.804197,2886.632517,2367.803935,1950.666098,1617.640794,1350.417198,1132.222655,954.078747,807.971086,687.211927,587.086437,503.780755,434.025654,375.320215,324.564325,280.820817,243.284119,210.961784,183.517615,160.149169,140.159928,123.007349,108.245861,95.470849,84.439867,74.815706,66.421394,59.094942,52.697627,47.054867,42.159294,37.796806,33.989832,30.626166,27.600949,24.938085,22.564804,20.460549,18.58178,16.897472,15.389975,14.03877,12.820427,11.71852,10.724512,9.806073,8.967622,8.211899,7.526219,6.907503,6.347169,5.837319,5.374201,4.95275,4.568797,4.218548,3.899486,3.60698,3.33654,3.087261,2.86113
Ne,10,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,7056.677399,4847.187094,3429.806115,2500.775846,1868.383966,1439.570575,1094.058131,854.839017,674.101469,8835.212902,7266.995306,5921.273358,4838.560515,3968.786975,3275.13786,2711.187367,2251.413646,1881.918151,1579.947726,1333.231335,1130.608285,962.836198,823.491794,707.36689,609.972641,527.860981,458.5133,398.895603,347.589614,303.197081,264.943257,231.888431,203.108294,178.409876,157.136518,138.706574,122.781053,108.87564,96.736955,86.134139,76.868851,68.690332,61.589515,55.258202,49.729058,44.838707,40.437607,36.56246,33.106057,30.038185,27.297421,24.839764,22.638636,20.66391,18.882244,17.268996,15.812715,14.464823,13.232593,12.121574,11.113218,10.203031,9.37821,8.627426,7.94532,7.324509,6.75876,6.242492,5.772048,5.341488,4.947928,4.584656,4.255547
Na,11,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,9305.809297,6466.795396,4627.058487,3405.10908,2562.851171,1971.709287,1490.885518,1158.491985,908.820893,722.02994,578.061959,6099.650959,6381.83145,5234.875568,3994.082177,3187.471755,2626.304813,2211.715998,1887.221774,1623.330591,1401.784566,1205.986894,1034.632669,888.793972,766.611123,663.707111,576.837965,502.11825,437.767285,382.03505,334.427818,293.639809,258.534807,228.24013,202.018388,179.197506,159.379919,141.93864,126.167997,112.378347,100.313231,89.661862,80.412291,72.163199,64.957603,58.583952,52.846421,47.792483,43.283808,39.281686,35.705503,32.498181,29.624995,27.04653,24.719661,22.612105,20.709197,18.947075,17.335515,15.882221,14.562868,13.371812,12.292778,11.310536,10.417929,9.605277,8.864599,8.188584,7.572483,7.008539,6.492975,6.017029,5.585809
Mg,12,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,12787.24861,8919.158892,6386.786207,4693.374652,3522.309911,2719.565423,2067.330764,1613.166029,1269.852147,1011.600866,809.424406,643.2864,516.66542,418.766809,5018.413664,4327.774725,3582.538848,2945.151894,2467.496561,2089.385748,1783.894323,1532.178813,1322.197509,1145.471056,995.042572,864.168888,751.951568,655.101261,571.61389,499.240437,437.367077,384.313756,338.615912,299.158347,264.982453,235.219013,209.353377,186.645163,166.720677,149.225875,133.859562,120.218268,108.312528,97.298468,87.626613,79.065776,71.355842,64.562066,58.498464,53.113778,48.299942,43.980237,40.108901,36.633836,33.49651,30.653757,28.085969,25.707361,23.531202,21.567824,19.784403,18.17374,16.714266,15.385213,14.176757,13.075784,12.071948,11.155754,10.320522,9.555682,8.856131,8.210089,7.624534
Al,13,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,16312.51576,11436.71515,8227.504864,6071.941579,4572.824136,3540.588739,2698.23165,2109.678176,1663.340051,1326.89424,1065.62851,850.942422,686.173088,558.072608,457.56679,375.931483,3971.261613,3519.108821,3000.435498,2530.318609,2141.176039,1828.561386,1572.964655,1360.242061,1181.489423,1029.793322,900.403281,788.446375,690.95999,604.077147,529.58187,465.632514,410.521835,362.897736,321.623277,285.657767,254.389896,226.925104,202.8139,181.629231,163.009539,146.483782,132.057334,119.12526,107.77129,97.676349,88.530478,80.344158,72.989737,66.303388,60.323005,54.954012,50.140041,45.817054,41.912421,38.374565,35.177718,32.218201,29.511388,27.06768,24.846839,22.839737,21.019108,19.359967,17.850805,16.475669,15.221013,14.074513,13.028523,12.070194,11.193557,10.383469,9.648712
Si,14,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,21372.65596,15085.39103,10899.77862,8063.967149,6084.008164,4716.882552,3597.765872,2814.048509,2218.935957,1770.108579,1420.808539,1131.453295,909.993854,738.281715,604.58349,498.16508,413.864784,346.604143,291.844221,3067.280219,2659.986372,2284.832368,1961.173175,1690.872993,1467.676171,1279.971298,1120.376626,982.210982,862.510093,758.382866,668.784795,590.893077,522.502138,462.015067,409.398029,363.553319,323.703622,288.706798,257.988544,231.003718,207.290571,186.243763,167.872151,151.408838,136.957285,124.115987,112.500133,102.217057,93.001098,84.784763,77.409929,70.767154,64.790382,59.252359,54.24416,49.691314,45.572572,41.762636,38.279593,35.13291,32.270988,29.68286,27.334117,25.192433,23.243144,21.465906,19.843377,18.359901,17.00568,15.764117,14.627229,13.57607,12.62231
P,15,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,25701.47235,18298.2475,13295.29763,9878.790181,7474.927123,5804.015981,4431.187637,3467.398556,2733.709665,2179.55389,1747.903852,1389.18581,1115.281046,903.297385,738.598647,607.771366,504.31492,421.905146,354.925495,300.417937,255.784927,2545.609969,2235.864674,1948.681171,1692.525499,1472.600636,1288.130516,1129.741779,993.120874,874.18327,771.753017,683.177901,606.181477,539.247448,480.7294,429.155513,382.636267,341.246058,304.91472,273.004851,244.969905,220.092312,198.37904,178.918327,161.835759,146.655966,132.925771,120.774389,109.883528,100.170937,91.453556,83.60233,76.538545,70.17348,64.405268,59.167943,54.420959,49.98332,45.891964,42.179134,38.763149,35.672388,32.866017,30.305768,27.9743,25.847458,23.90485,22.1281,20.505454,19.017153,17.653938,16.392928,15.248218
S,16,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,31434.95001,22647.24182,16593.96866,12400.9017,9424.053405,7344.354528,5624.720096,4409.049295,3480.113434,2776.610226,2226.818333,1768.778036,1419.234637,1149.012882,939.178,772.594076,640.955752,536.155877,451.013874,381.761534,325.068581,278.239213,239.382278,206.968244,2007.794059,1763.948861,1545.527105,1356.821763,1194.704897,1053.830345,930.843724,824.224003,731.703901,651.249911,581.051978,519.467321,465.466842,417.700766,375.471158,337.40845,302.884079,272.24169,245.488252,221.496298,200.427273,181.696596,164.749025,149.750201,136.302026,124.305287,113.533392,103.827633,95.091895,87.215133,80.074407,73.588758,67.708305,62.259515,57.267651,52.742395,48.61338,44.866579,41.416259,38.254521,35.353711,32.673984,30.225777,27.986241,25.94049,24.063616,22.343898,20.752741,19.308055
Cl,17,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,35061.85776,25504.63823,18851.92822,14188.04407,10841.55368,8483.189914,6520.737604,5127.220517,4056.063132,3240.284274,2603.223942,2078.496172,1669.906724,1352.789068,1106.381673,910.57402,755.727684,632.365038,532.106143,450.50956,383.689333,328.475539,282.645867,244.434312,212.343132,185.241635,1696.984145,1497.977021,1321.397451,1166.427909,1033.960414,918.809692,817.57783,727.690987,649.027302,580.060122,519.745203,466.449009,419.388849,377.764006,340.928846,307.988029,279.053229,252.013754,228.130682,206.891012,187.665428,170.641089,155.372293,141.751378,129.515904,118.482526,108.548636,99.593128,91.471605,84.090855,77.396236,71.190728,65.503549,60.346318,55.639102,51.366323,47.47447,43.912819,40.659468,37.68272,34.955588,32.425374,30.102452,27.962685,25.970283,24.126404,22.451905
Ar,18,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,39065.38285,28446.64407,21121.13197,15967.47794,12243.00135,9603.812131,7396.289266,5822.513973,4610.085985,3685.175176,2960.570142,2367.684407,1911.713359,1555.208723,1272.928316,1047.427618,869.112213,727.014041,611.508798,517.511527,440.539536,376.948238,324.17788,280.18645,243.247557,212.079206,185.693608,162.483291,142.022732,1255.662412,1114.739147,991.31443,882.890753,787.843926,704.309045,630.258958,564.989607,507.127349,455.862696,410.541235,370.45812,334.660593,303.235089,274.884446,249.861857,227.316112,206.77543,188.073184,171.29393,156.317863,142.862663,130.735071,119.81246,109.95833,101.019336,92.895431,85.52504,78.690876,72.425537,66.742422,61.55385,56.842807,52.550569,48.621422,45.031387,41.745661,38.734665,35.971684,33.440215,31.111047,28.971385,26.985953,25.163656
