"02-23-1987","12:30:00"
"K, L, & M LINE ENERGIES CALCULATED BY FRAME EQUATIONS (JTA ED)"
"K LINES 1-32, L LINES 22-95, M LINES 17-95 edit Bearden/Chambers"
 31   10.370    1.298    1.142    1.117    0.158    0.107    0.103    0.017    0.000
 32   11.110    1.414    1.248    1.217    0.180    0.128    0.121    0.029    0.000
 33   11.867    1.526    1.359    1.324    0.204    0.146    0.140    0.041    0.000
 34   12.658    1.654    1.476    1.434    0.231    0.168    0.162    0.057    0.000
 35   13.474    1.782    1.596    1.553    0.257    0.189    0.181    0.070    0.000
 36   14.326    1.921    1.727    1.677    0.285    0.223    0.214    0.089    0.000
 37   15.200    2.065    1.864    1.807    0.322    0.247    0.238    0.112    0.110
 38   16.105    2.216    2.007    1.941    0.358    0.280    0.269    0.135    0.133
 39   17.038    2.373    2.155    2.079    0.394    0.312    0.300    0.160    0.157
 40   17.998    2.532    2.307    2.223    0.430    0.344    0.330    0.182    0.180
 41   18.986    2.698    2.465    2.371    0.468    0.378    0.363    0.207    0.205
 42   20.000    2.866    2.625    2.523    0.505    0.410    0.392    0.230    0.227
 43   20.933    3.043    2.793    2.678    0.540    0.445    0.425    0.256    0.253
 44   21.980    3.224    2.967    2.838    0.585    0.461    0.461    0.284    0.279
 45   23.053    3.412    3.146    3.002    0.627    0.496    0.496    0.312    0.307
 46   24.153    3.604    3.330    3.173    0.670    0.531    0.531    0.340    0.335
 47   25.278    3.806    3.524    3.351    0.718    0.571    0.571    0.373    0.367
 48   26.429    4.018    3.727    3.538    0.770    0.616    0.616    0.410    0.404
 49   27.607    4.238    3.938    3.730    0.826    0.664    0.664    0.451    0.443
 50   28.811    4.465    4.156    3.929    0.884    0.714    0.714    0.493    0.485
 51   30.040    4.698    4.380    4.132    0.944    0.812    0.766    0.537    0.527
 52   31.296    4.939    4.612    4.342    1.006    0.870    0.819    0.582    0.572
 53   32.578    5.188    4.852    4.559    1.072    0.931    0.875    0.631    0.619
 54   33.887    5.453    5.104    4.782    1.140    0.999    0.937    0.685    0.672
 55   35.221    5.714    5.359    5.011    1.217    1.065    0.998    0.739    0.725
 56   36.581    5.989    5.624    5.247    1.293    1.137    1.062    0.796    0.781
 57   37.968    6.266    5.891    5.484    1.361    1.204    1.123    0.848    0.832
 58   39.381    6.549    6.164    5.723    1.435    1.273    1.185    0.901    0.883
 59   40.820    6.835    6.440    5.963    1.511    1.337    1.242    0.951    0.931
 60   42.284    7.126    6.726    6.209    1.575    1.403    1.297    1.000    0.978
 61   43.775    7.428    7.013    6.461    1.654    1.471    1.357    1.051    1.027
 62   45.292    7.737    7.312    6.717    1.723    1.541    1.420    1.106    1.080
 63   46.836    8.052    7.617    6.981    1.800    1.614    1.481    1.161    1.131
 64   48.405    8.376    7.930    7.243    1.881    1.688    1.544    1.217    1.185
 65   50.000    8.708    8.252    7.515    1.966    1.768    1.611    1.275    1.241
 66   51.621    9.046    8.581    7.790    2.047    1.842    1.676    1.333    1.295
 67   53.269    9.394    8.918    8.068    2.128    1.923    1.741    1.392    1.351
 68   54.942    9.751    9.264    8.358    2.207    2.006    1.812    1.453    1.409
 69   56.642   10.116    9.617    8.650    2.307    2.090    1.885    1.515    1.468
 70   58.367   10.486    9.978    8.944    2.398    2.173    1.950    1.576    1.528
 71   60.118   10.870   10.349    9.249    2.491    2.263    2.024    1.639    1.589
 72   61.896   11.271   10.739    9.558    2.601    2.365    2.108    1.716    1.662
 73   63.699   11.681   11.136    9.877    2.708    2.469    2.194    1.793    1.743
 74   65.528   12.100   11.544   10.200    2.820    2.575    2.281    1.872    1.814
 75   67.384   12.527   11.959   10.530    2.932    2.682    2.367    1.950    1.890
 76   69.265   12.968   12.385   10.870    3.048    2.792    2.457    2.031    1.967
 77   71.172   13.418   12.824   11.210    3.174    2.909    2.551    2.116    2.048
 78   73.105   13.880   13.273   11.560    3.296    3.026    2.645    2.202    2.133
 79   75.064   14.353   13.734   11.920    3.425    3.148    2.743    2.291    2.220
 80   77.049   14.839   14.209   12.290    3.562    3.279    2.847    2.385    2.313
 81   79.059   15.347   14.698   12.660    3.704    3.416    2.957    2.485    2.406
 82   81.096   15.861   15.200   13.040    3.851    3.554    3.066    2.586    2.502
 83   83.158   16.388   15.711   13.430    3.999    3.696    3.177    2.688    2.603
 84   85.246   16.939   16.244   13.814    4.149    3.854    3.302    2.798    2.683
 85   87.360   17.493   16.785   14.213    4.317    4.008    3.426    2.909    2.787
 86   89.500   18.049   17.337   14.619    4.482    4.159    3.538    3.021    2.892
 87   91.666   18.639   17.907   15.031    4.652    4.327    3.663    3.136    3.000
 88   93.857   19.237   18.484   15.444    4.822    4.489    3.792    3.248    3.105
 89   96.074   19.840   19.083   15.871    5.002    4.656    3.909    3.370    3.219
 90   98.317   20.472   19.693   16.300    5.182    4.830    4.046    3.491    3.332
 91  100.000   21.105   20.314   16.733    5.367    5.001    4.174    3.611    3.442
 92  100.000   21.757   20.948   17.166    5.548    5.182    4.303    3.728    3.552
 93  100.000   22.427   21.600   17.610    5.723    5.366    4.435    3.850    3.666
 94  100.000   23.097   22.266   18.057    5.933    5.541    4.557    3.973    3.778
 95  100.000   23.773   22.944   18.504    6.120    5.710    4.667    4.092    3.887
"END OF LINES FILE"

