L2-M4,NIST-Chantler 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elm,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U
,Z,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
F,9,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,4330.278761,2990.28214,2142.557595,1581.421499,1193.247767,919.013283,12442.73397,9846.136234,7836.669385,6285.802197,5064.897054,4090.052677,3306.198984,2680.920537,2189.020911,1797.636876,1480.152252,1231.306741,1026.963301,860.738301,724.942636,613.20155,520.915419,444.351132,380.555865,325.936029,279.202665,239.361952,205.406619,176.810022,152.682949,132.232915,114.825269,99.971251,87.209045,76.329782,66.94043,58.787527,51.726026,45.61346,40.295446,35.655691,31.6238,28.097811,25.011359,22.295601,19.894636,17.779062,15.91346,14.265958,12.800855,11.489822,10.327825,9.267307,8.319638,7.47766,6.730535,6.062411,5.465506,4.931635,4.453415,4.026738,3.641023,3.292108,2.976326,2.693367,2.439266,2.20852,2.001067,1.814236,1.645685,1.494099,1.355998
Ne,10,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,6884.437576,4693.456143,3315.361575,2411.002733,1793.155671,1377.283785,1043.879709,813.986404,2152.201632,8420.095343,6871.711176,5568.156788,4525.864624,3694.504521,3034.079839,2500.447777,2061.343348,1717.121077,1434.203636,1203.819575,1015.290608,859.861206,731.274721,624.405179,535.186644,460.383312,396.689345,342.216512,295.540102,255.543246,221.141398,191.694962,166.621699,145.20086,126.780034,111.064044,97.487798,85.689068,75.461033,66.600177,58.884998,52.149036,46.289497,41.160473,36.669131,32.713686,29.212773,26.12634,23.403153,20.996024,18.853613,16.934009,15.23132,13.673074,12.279985,11.041793,9.9426,8.958916,8.07979,7.293401,6.588708,5.959693,5.390992,4.883214,4.422823,4.011943,3.642254,3.305818,3.002622,2.728371,2.480146,2.254636,2.0471
Na,11,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,9075.76791,6268.357049,4477.259805,3286.128756,2461.963474,1884.960405,1421.151394,1101.830325,862.50281,683.277428,543.080796,6511.034237,6142.820503,4764.436121,3625.827333,2926.497413,2412.216282,2034.571204,1731.65646,1482.42445,1268.829562,1080.332324,918.78807,784.700416,672.889667,579.180729,499.352008,431.023022,372.41946,322.745986,280.552146,244.555597,213.723708,187.251848,164.365411,144.73512,127.143697,111.798844,98.479742,86.93944,76.888798,68.111514,60.474947,53.788997,47.931617,42.771999,38.204754,34.177295,30.623009,27.48022,24.682265,22.174413,19.949389,17.911621,16.089474,14.469408,13.031059,11.744241,10.593937,9.564553,8.641943,7.818235,7.073384,6.408194,5.804981,5.266608,4.782126,4.34112,3.943613,3.584794,3.26029,2.967634,2.700274
Mg,12,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,12475.47136,8646.730055,6179.44678,4527.920927,3382.162731,2602.225545,1972.331092,1535.418938,1205.954352,957.412513,759.687357,601.248046,480.939998,5215.916181,4766.991628,3992.619118,3254.670904,2682.603311,2243.716705,1893.988998,1610.813667,1377.153978,1182.099652,1017.841612,875.864225,754.986715,651.513895,562.858863,486.747673,422.176898,367.280806,320.411478,280.241122,245.726116,215.862168,190.226696,167.956246,148.489504,131.517635,116.719685,103.638955,91.860633,81.606107,72.622611,64.749141,57.809982,51.664383,46.241943,41.453814,37.218437,33.446078,30.063229,27.060372,24.309254,21.84791,19.658041,17.712862,15.972119,14.415158,13.020601,11.770156,10.653722,9.64365,8.741068,7.922178,7.190942,6.532585,5.933069,5.392433,4.904125,4.462279,4.063654,3.699353
Al,13,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,15921.04043,11092.08372,7964.137011,5860.571207,4392.92292,3389.236444,2575.302034,2008.696437,1580.146208,1256.77394,1001.514173,796.363438,639.51449,518.192789,422.659117,346.161597,3746.339267,3242.592118,2724.740874,2281.645214,1924.967035,1639.485263,1403.934605,1208.048685,1043.372076,903.905624,784.290936,680.45428,589.070809,511.274786,445.095123,388.554053,340.054097,298.35664,262.259279,231.257859,204.309495,180.737168,160.17092,142.245378,126.541659,112.74803,100.676631,90.047512,80.569916,72.135004,64.503054,57.76542,51.812684,46.544438,41.84964,37.63951,33.900408,30.479383,27.416324,24.689424,22.265053,20.092769,18.148452,16.406719,14.843562,13.445876,12.180391,11.049313,10.022283,9.10428,8.277117,7.523344,6.843086,6.228172,5.67133,5.168614,4.70887
Si,14,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,20870.85785,14637.8896,10553.95178,7785.092499,5846.085968,4516.028612,3434.205161,2679.417508,2107.999139,1676.51895,1334.313747,1058.024305,847.400148,685.058902,558.892341,459.409639,379.266552,316.722899,3231.896821,2814.762514,2405.141134,2046.512068,1745.519597,1500.608798,1296.777781,1124.69591,977.07919,849.95032,740.335814,646.695682,565.430234,494.725092,432.893671,379.739464,333.732191,294.227371,259.893819,229.867547,203.675769,180.845962,160.849841,143.291398,127.932368,114.4126,102.500801,91.952404,82.567311,74.248456,66.869387,60.18491,54.163604,48.744452,43.926374,39.525449,35.582032,32.068061,28.941571,26.138529,23.627684,21.376764,19.355069,17.546116,15.906986,14.440102,13.107211,11.915423,10.84081,9.860927,8.975977,8.175447,7.449988,6.794515,6.194587
P,15,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,25117.27267,17765.14516,12879.75634,9541.193606,7184.927439,5557.827911,4230.295873,3301.557539,2596.792805,2063.976305,1640.578073,1298.313281,1037.958889,837.68794,682.399557,560.191531,461.911715,385.349788,322.726363,271.908342,230.402634,2322.561489,2011.184783,1730.940688,1492.270553,1293.110916,1123.887102,978.78148,853.555673,746.483991,654.5418,575.356307,506.987229,447.39568,394.497251,347.775329,307.168061,271.661583,240.696399,213.71266,190.078403,169.322998,151.167274,135.18594,121.109684,108.643833,97.549751,87.71691,78.995633,71.245967,64.312365,58.07786,52.519714,47.356203,42.715049,38.520868,34.786829,31.436921,28.434355,25.740755,23.320058,21.153103,19.188419,17.429496,15.830273,14.399444,13.108528,11.930488,10.865921,9.902431,9.028831,8.239089,7.515888
S,16,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,30749.45343,22005.87275,16085.89988,11983.77449,9063.99667,7036.820843,5372.074745,4199.237669,3306.559003,2629.525021,2089.756617,1652.776413,1320.60854,1065.419514,867.607619,712.046924,587.028971,489.686383,410.102826,345.54786,292.868082,249.511136,213.636003,2049.630256,1785.856558,1551.489254,1349.87384,1177.736116,1029.36726,900.396025,789.819892,694.656024,612.459167,541.258253,479.100487,425.259887,378.097804,335.754565,297.620084,264.382344,235.2564,209.662807,187.263944,167.538562,150.16415,134.771058,121.066804,108.914593,98.130947,88.54254,79.959378,72.238568,65.3525,59.05522,53.389094,48.320059,43.784943,39.652081,35.933273,32.539525,29.488687,26.757074,24.279643,22.060722,20.042652,18.236693,16.606839,15.118712,13.77347,12.555889,11.451708,10.453265,9.538715
Cl,17,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,34317.85805,24802.99228,18289.35565,13720.84915,10434.75017,8132.811939,6231.68511,4885.84948,3855.26961,3069.288292,2447.607939,1943.308033,1554.229125,1254.634716,1022.277702,839.361929,692.255522,577.648796,483.906673,407.828896,345.725796,294.594189,252.283561,217.092603,187.668553,1271.98587,1490.431015,1302.73673,1139.505445,1001.289824,881.193496,776.35225,684.21264,604.460833,534.958631,474.877592,422.316276,376.00384,335.294778,299.502109,267.606885,238.600873,213.204975,190.830808,171.111023,153.634342,138.073536,124.265763,112.004873,101.102544,91.340753,82.553917,74.713639,67.540316,61.083448,55.304651,50.139537,45.487776,41.302195,37.533135,34.129124,31.03011,28.212934,25.642161,23.303394,21.20989,19.319979,17.594212,16.033733,14.620852,13.339144,12.179636,11.117059
Ar,18,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,38223.24367,27674.68882,20501.24967,15448.73873,11788.85226,9210.315257,7070.386285,5549.407637,4382.677921,3490.756145,2783.635518,2216.749797,1782.447339,1443.556576,1176.083307,965.417493,795.997693,663.973909,555.980901,468.344968,396.814493,337.935106,289.225179,248.711921,214.86956,186.407279,161.609662,139.825657,1227.79796,1079.701219,951.037229,839.199691,741.887173,656.468701,581.499217,516.294461,459.051333,408.62574,364.327772,325.444367,291.163361,260.848128,234.025824,210.218915,188.589509,169.383284,152.273428,137.092345,123.613097,111.619411,100.875292,91.203541,82.57103,74.669572,67.554798,61.185141,55.489939,50.359018,45.740715,41.580526,37.826268,34.451571,31.379395,28.618456,26.098018,23.794739,21.70907,19.780771,18.031418,16.446622,15.008376,13.707022,12.514248
K,19,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,41504.20095,34096.71804,25447.12009,19273.24634,14771.91749,11585.09504,8927.771149,7030.905425,5569.862013,4448.357101,3571.012275,2875.760499,2322.865622,1881.654782,1537.851256,1264.829598,1042.01363,868.140815,726.065117,610.891974,516.979391,439.759394,375.948484,322.939432,278.691138,241.516003,209.168218,180.803747,156.012913,135.107258,1162.832846,1023.772516,905.034789,802.519916,712.99979,635.403936,565.841719,504.214614,449.793785,401.884682,359.593667,322.126811,289.134428,259.919112,234.039366,210.93827,190.08534,171.377687,154.585832,139.641118,126.249137,114.1885,103.419584,93.555082,84.669673,76.713392,69.597171,63.18464,57.410667,52.207399,47.510297,43.287665,39.442137,35.984687,32.827279,29.989598,27.418318,25.062575,22.924726,20.947981,19.134495,17.486607,15.969706
Ca,20,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,4372.927174,35263.5821,29547.24958,22497.64063,17318.21716,13635.29695,10557.53781,8343.354264,6627.454574,5307.924527,4269.360381,3439.239156,2790.036766,2278.997422,1871.980984,1540.333372,1273.120712,1063.442077,889.573061,747.743288,632.198969,537.26569,458.880821,393.82246,339.561005,294.014481,254.42499,219.750394,189.479582,163.978785,142.405682,124.065595,108.428271,929.151143,821.153078,730.605723,652.611489,583.780865,523.125409,468.129065,419.268281,375.854286,337.521348,303.52039,273.279944,246.350572,222.24014,200.771478,181.642575,164.386675,148.819341,134.675684,122.023297,110.422918,99.970399,90.611501,82.237324,74.686664,67.885505,61.754523,56.218026,51.239123,46.703299,42.623749,38.896967,35.546866,32.51026,29.726888,27.200046,24.902798,22.810398,20.907628,19.154823
Sc,21,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,4715.745255,3498.724108,27745.62437,23805.35869,18439.42787,14580.24239,11320.14172,8973.041669,7150.522052,5737.509657,4621.670234,3727.515331,3026.019613,2472.372287,2034.573516,1684.609399,1396.821005,1167.115907,978.440014,824.451348,697.266025,592.01177,505.179516,433.172726,373.159013,322.833808,279.159323,240.966651,207.667421,179.640452,155.945826,135.814524,118.64345,103.966061,91.297961,772.341073,685.278411,610.34115,546.181959,490.423833,440.921907,396.408218,356.541473,320.88746,289.105103,260.768566,235.342521,212.656876,192.403308,174.308634,158.040797,143.364894,130.224998,117.912021,106.804253,96.828602,87.900931,79.853221,72.602284,66.064063,60.158177,54.845937,50.005071,45.650411,41.671147,38.092851,34.848479,31.873678,29.172275,26.715729,24.477662,22.444794,20.574369
Ti,22,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,5066.57028,3794.165086,21300.47083,23085.48652,20150.79691,15987.82276,12475.40595,9934.270551,7932.896125,6391.070549,5157.426488,4153.920325,3371.256842,2756.425501,2271.361693,1883.855018,1568.112981,1319.271705,1110.365029,935.960708,793.390417,675.544601,576.596255,494.134832,425.45349,367.873426,317.980151,274.422215,236.490778,204.573378,177.593907,154.674458,135.127367,118.42233,104.012989,91.678752,81.00277,675.946481,599.440709,536.123286,481.085031,433.149843,390.917181,353.416941,318.865213,287.951405,260.121228,235.253521,213.019062,193.130634,175.233333,159.074384,144.596185,131.393667,119.437105,108.477878,98.635564,89.609551,81.47581,74.133947,67.502533,61.537914,56.102899,51.214227,46.747248,42.730682,39.089146,35.750641,32.719168,29.962456,27.450976,25.16976,23.070829
