X-ray Line energies in ev from Waldo program (reordered), Handbook of Chemistry and Physics, orig ref Bearden and Burr
 Symbol    Ka      Kb     La1     Lb1     Lb2     Lb3     Lb4     Lg1    Lg2,3     Ma      Mb      Mg
Ac         90884  102850   12652   15713   15224   15931   15198   18408   18830    2909    3053    3274
Th         93350  105609   12969   16202   15606   16426   15643   18983   19406    2996    3146    3370
Pa         95868  108427   13291   16702   16003   16930   16104   19568   19985    3082    3240    3466
U          98439  111300   13615   17220   16407   17455   16575   20167   20599    3171    3337    3563
Np             0       0   13944   17750   16840   17989   17061   20785   21110    3253    3433    3663
Pu             0       0   14279   18294   17255   18541   17556   21417   21725    3345    3531    3765
Am             0       0   14617   18852   17677   19106   18063   22065   22361       0       0       0
Cm             0       0       0       0       0       0       0       0       0       0       0       0
Bk             0       0       0       0       0       0       0       0       0       0       0       0
Cf             0       0       0       0       0       0       0       0       0       0       0       0
Es             0       0       0       0       0       0       0       0       0       0       0       0
Edge energies in ev from Waldo fortran code edge.for, from Handbook of Chemistry and Physics, original source Bearden and Burr
Symbol  K       L1      L2      L3      M1      M2      M3      M4      M5      N1      N2      N3
H             14       0       0       0       0       0       0       0       0       0       0       0
He            25       0       0       0       0       0       0       0       0       0       0       0
Li            55       0       0       0       0       0       0       0       0       0       0       0
Be           111       0       0       0       0       0       0       0       0       0       0       0
B            188       0       0       0       0       0       0       0       0       0       0       0
C            284       0       0       0       0       0       0       0       0       0       0       0
N            402       0       0       0       0       0       0       0       0       0       0       0
O            532       0       0       0       0       0       0       0       0       0       0       0
F            685       0       0       0       0       0       0       0       0       0       0       0
Ne           867      45      18      18       0       0       0       0       0       0       0       0
Na          1072      63      31      31       0       0       0       0       0       0       0       0
Mg          1305      89      51      51       0       0       0       0       0       0       0       0
Al          1560     117      73      73       0       0       0       0       0       0       0       0
Si          1839     149      99      99       0       0       0       0       0       0       0       0
P           2146     189     132     132       0       0       0       0       0       0       0       0
S           2472     229     165     165       0       0       0       0       0       0       0       0
Cl          2822     270     202     200       0       0       0       0       0       0       0       0
Ar          3203     320     247     245       0       0       0       0       0       0       0       0
K           3607     377     296     294       0       0       0       0       0       0       0       0
Ca          4038     438     350     346       0       0       0       0       0       0       0       0
Sc          4493     500     407     402       0       0       0       0       0       0       0       0
Ti          4966     564     462     456       0       0       0       0       0       0       0       0
V           5465     628     521     513       0       0       0       0       0       0       0       0
Cr          5989     695     584     575       0       0       0       0       0       0       0       0
Mn          6539     769     651     640      84      49      49       3       3       0       0       0
Fe          7112     846     721     708      93      54      54       4       4       0       0       0
Co          7709     926     794     779     101      54      54       3       3       0       0       0
Ni          8333    1008     872     855     112      68      68       4       4       0       0       0
Cu          8979    1096     951     931     120      74      74       2       2       0       0       0
Zn          9659    1194    1043    1020     136      87      87       8       8       0       0       0
Ga         10367    1298    1142    1115     158     107     103      17      17       0       0       0
Ge         11103    1414    1248    1217     180     128     121      29      29       0       0       0
As         11867    1527    1359    1323     204     146     141      41      41       3       3       3
Se         12658    1654    1476    1433     232     168     162      57      57       6       6       6
Br         13474    1782    1596    1550     257     189     182      70      69      27       5       5
Kr         14326    1921    1727    1675     289     223     214      89      89      24      11      11
Rb         15200    2065    1864    1804     322     247     239     112     110      29      15      14
Sr         16105    2216    2007    1940     358     280     269     135     133      38      20      20
Y          17038    2373    2156    2080     394     312     300     160     157      45      26      26
Zr         17998    2532    2307    2222     430     344     331     182     180      51      29      29
Nb         18986    2698    2465    2371     468     378     363     207     205      58      34      34
Mo         20000    2866    2625    2520     505     410     392     230     227      62      35      35
Tc         21044    3043    2793    2677     544     445     425     256     253      68      39      39
Ru         22117    3224    2967    2838     585     483     461     284     279      75      43      43
Rh         23220    3412    3146    3004     627     521     496     312     307      81      48      48
Pd         24350    3604    3330    3173     670     559     532     340     335      86      51      51
