Grunerite    (Fe6.1 Mg.9) Si8 O23.5 F.5
S        22.195
 
Pyrobelonite    Pb Mn V O7 H
Pb       48.629
Mn       12.894
V        11.956
O        26.285
H         0.237
 
Brackebuschite    Pb2 V2 Mn O8
Pb       59.266
V        14.571
Mn        7.857
O        18.306
 
Montroseite    V O2 H
V        60.682
O        38.117
H         1.201
 
Paramontroseite    V O2
V        61.419
O        38.581
 
Murdochite    Pb Cu5.999 O8
Pb       28.922
Cu       53.212
O        17.866
 
Murdochite    Pb Cu6 O8
Pb       28.920
Cu       53.216
O        17.865
 
Phlogopite    K Mg3 (Si3 Al) O12 H1.36
K         9.385
Mg       17.502
Si       20.224
Al        6.476
O        46.084
H         0.329
 
Osumilite    K.32 Na.35 Ca.12 Mg1.48 Fe1.57 Al4.95 Si9 O30 H
K         1.231
Na        0.792
Ca        0.473
Mg        3.539
Fe        8.627
Al       13.141
Si       24.871
O        47.227
H         0.099
 
Pentlandite    (Ni4.5 Fe4.5) S8
Ni       34.213
Fe       32.556
S        33.231
 
Smythite    Fe3 S4
Fe       56.639
S        43.361
 
Uranophane    U2 Si2 Ca O12
U        62.287
Si        7.349
Ca        5.244
O        25.120
 
Digenite    Cu17 S9
Cu       78.917
S        21.083
 
Coffinite    U Si O4
U        72.105
Si        8.508
O        19.387
 
Thorite    Th Si O4
Th       71.590
Si        8.665
O        19.745
 
Sanbornite    Ba Si2 O5
Ba       50.212
Si       20.538
O        29.250
 
Dolomite    Ca Mg C2 O6
Ca       21.734
Mg       13.180
C        13.027
O        52.058
 
Petzite    Ag3 Au Te2
Ag       41.714
Au       25.390
Te       32.896
 
Wurtzite-10H    Zn5 S5
Zn       67.097
S        32.903
 
Wurtzite-8H    Zn S
Zn       67.097
S        32.903
 
Perrierite-(Ce)    (Si3.84 Al.16) Ti3.48 Fe.87 Mg.24 Ca.872 Ce2.312 La.5 Y.16 Th.192 Na.312 O22
Si        9.144
Al        0.366
Ti       14.127
Fe        4.119
Mg        0.495
Ca        2.963
Ce       27.465
La        5.888
Y         1.206
Th        3.777
Na        0.608
O        29.842
 
Awaruite    Ni.689 Fe.283 Co.027
Ni       69.921
Fe       27.328
Co        2.751
 
Awaruite    Ni.689 Fe.283 Co.027
Ni       69.921
Fe       27.328
Co        2.751
 
Awaruite    Ni.695 Fe.262 Co.039 Cu.003
Ni       70.436
Fe       25.266
Co        3.969
Cu        0.329
 
Haggite    V2 O5
V        56.017
O        43.983
 
Doloresite    V3 O8
V        54.421
O        45.579
 
Boulangerite    Pb4.5 Sb4.5 S11
Pb       50.867
Sb       29.890
S        19.243
 
Cahnite    As B Ca2 O8
As       25.494
B         3.679
Ca       27.275
O        43.553
 
Calcite    Ca C O3
Ca       40.043
C        12.001
O        47.956
 
Magnesite    Mg C O3
Mg       28.827
C        14.246
O        56.928
 
Rhodochrosite    Mn C O3
Mn       47.794
C        10.449
O        41.757
 
Siderite    Fe C O3
Fe       48.204
C        10.367
O        41.429
 
Smithsonite    Zn C O3
Zn       52.145
C         9.578
O        38.276
 
Otavite    Cd C O3
Cd       65.196
C         6.966
O        27.838
 
Sphaerocobaltite    Co C O3
Co       49.548
C        10.098
O        40.354
 
Gaspeite    Ni C O3
Ni       49.444
C        10.119
O        40.437
 
Kutnohorite    (Ca.5 Mn.5) C O3
Ca       18.638
Mn       25.548
C        11.171
O        44.642
 
CuCO3    Cu C O3
Cu       51.431
C         9.721
O        38.848
 
Dolomite    Ca Mg C2 O6
Ca       21.734
Mg       13.180
C        13.027
O        52.058
 
CdMg(CO3)2    Cd Mg C2 O6
Cd       43.785
Mg        9.467
C         9.357
O        37.391
 
Sphalerite    Zn S
Zn       67.097
S        32.903
 
Hawleyite    Cd S
Cd       77.805
S        22.195
 
Arsenopyrite    Fe As S
Fe       34.297
As       46.011
S        19.692
 
Narsarsukite    Ti Na2 Si4 O11
Ti       12.528
Na       12.030
Si       29.394
O        46.048
 
Phlogopite    (K.9 Mn.1) Mg3 (Si3 Fe) O12 H2
K         7.860
Mn        1.227
Mg       16.286
Si       18.819
Fe       12.474
O        42.883
H         0.450
 
Portlandite    Ca O2 H2
Ca       54.092
O        43.188
H         2.721
 
Portlandite    Ca O2 H2
Ca       54.092
O        43.188
H         2.721
 
Carminite    Pb As2 Fe2 O10 H2
Pb       32.850
As       23.756
Fe       17.708
O        25.366
H         0.320
 
Clinochlore    Mg5.1 Al1.2 Cr.7 Si3 O18 H8
Mg       21.631
Al        5.650
Cr        6.352
Si       14.703
O        50.256
H         1.407
 
CsFeSi2O6    Cs (Fe Si2) O6
Cs       38.984
Fe       16.381
Si       16.476
O        28.158
 
Digenite    Cu1.8 S
Cu       78.104
S        21.896
 
Vermiculite    Mg3 Si4 O12 N4 C12
Mg       12.628
Si       19.456
O        33.251
N         9.703
C        24.962
 
Gismondine    Si2 Al2 Ca O12 H10
Si       15.945
Al       15.318
Ca       11.377
O        54.499
H         2.861
 
Chrysoberyl    Al2 Be O4
Al       42.500
Be        7.098
O        50.403
 
Ixiolite    (Ta.438 Fe.177 Sn.128 Nb.124 Mn.12 Zr.006 Ti.006 W.001) O2
Ta       50.979
Fe        6.358
Sn        9.774
Nb        7.410
Mn        4.241
Zr        0.352
Ti        0.185
W         0.118
O        20.583
 
Dickite    Si2 Al2 O9 H4
Si       21.758
Al       20.903
O        55.777
H         1.562
 
Greigite    Fe3 S4
Fe       56.639
S        43.361
 
Faujasite    (Si4.2 Al1.8) Na.15 Ca.075 O13.333 H2
Si       30.377
Al       12.507
Na        0.888
Ca        0.774
O        54.935
H         0.519
 
Tunellite    Sr B6 O14 H8
Sr       22.786
B        16.868
O        58.249
H         2.097
 
Abernathyite    As U O9 K H4
As       14.982
U        47.599
O        28.795
K         7.818
H         0.806
 
Abernathyite    As U O9 N H4
As       15.774
U        50.113
O        30.316
N         2.949
H         0.849
 
Abernathyite    As U O9.5 K.5 H5.332
As       15.294
U        48.590
O        31.028
K         3.991
H         1.097
 
Metatorbernite    P Cu U2 O8 H4
P         4.408
Cu        9.044
U        67.756
O        18.217
H         0.574
 
Marialite    (Na3.16 Ca.76 K.08) Si8.4 Al3.68 O24 Cl.95
Na        8.456
Ca        3.545
K         0.364
Si       27.461
Al       11.558
O        44.696
Cl        3.920
 
Carnotite    V Cs U O6
V         9.837
Cs       25.664
U        45.963
O        18.537
 
Greenalite    Fe1.71 Mg.645 Al1.305 Si1.34 O9 H4
Fe       28.761
Mg        4.721
Al       10.604
Si       11.334
O        43.366
H         1.214
 
Cobaltite    Co As S
Co       35.519
As       45.155
S        19.326
 
Cobaltite    Co (As S)
Co       35.519
As       45.155
S        19.326
 
Reedmergnerite    Na B Si3 O8
Na        9.343
B         4.394
Si       34.243
O        52.019
 
Laueite    Mn Fe2 P2 O18 H4
Mn       10.553
Fe       21.455
P        11.899
O        55.319
H         0.774
 
Krausite    Fe K S2 O9 H2
Fe       18.305
K        12.815
S        21.021
O        47.198
H         0.661
 
Pyrope    Al2 Mg3 Si3 O12
Al       13.386
Mg       18.087
Si       20.901
O        47.626
 
Hematite    Fe2 O3
Fe       69.943
O        30.057
 
Metastrengite    Fe P O6 H4
Fe       29.889
P        16.577
O        51.376
H         2.158
 
Cummingtonite    Si8 (Mg4.68 Fe2.32) O24
Si       26.372
Mg       13.351
Fe       15.207
O        45.070
 
Sulvanite    Cu3 V S4
Cu       51.546
V        13.774
S        34.681
 
Jadeite    Na Al Si2 O6
Na       11.373
Al       13.348
Si       27.788
O        47.490
 
Mizzonite    (Ca2.68 Na.76 K.44 Mg.12) (Si6.68 Al5.32) O24 (C.83 S.15 Cl.02)
Ca       12.267
Na        1.995
K         1.965
Mg        0.333
Si       21.426
Al       16.393
O        43.853
C         1.139
S         0.549
Cl        0.081
 
Cordierite    Al4 Si5 (Mg1.54 Fe.46) O18.48 Li.12 Na.1 Ca.03 K.02 H2
Al       17.570
Si       22.861
Mg        6.093
Fe        4.182
O        48.133
Li        0.136
Na        0.374
Ca        0.196
K         0.127
H         0.328
 
Vermiculite    Mg1.705 (Si1.43 Al.57) O7.86 H2.2
Mg       18.422
Si       17.854
Al        6.837
O        55.903
H         0.986
 
Fluellite    Al2 P O12 F2 H17.24
Al       16.239
P         9.321
O        57.776
F        11.434
H         5.229
 
Cheralite    (Ce.15 La.14 Th.33 Ca.32 Pb.01 U.05) (P.96 Si.04) O4
Ce        8.805
La        8.147
Th       32.080
Ca        5.373
Pb        0.868
U         4.986
P        12.457
Si        0.471
O        26.812
 
Clinopyroxene    Mg.57 Fe.22 Al.64 Ti.07 (Ca.98 Mn.01 Na.01) Si1.5 O6
Mg        6.159
Fe        5.462
Al        7.677
Ti        1.490
Ca       17.461
Mn        0.244
Na        0.102
Si       18.729
O        42.676
 
Heulandite-Ca    Ca (Si4.398 Al1.602) O16.002 H11.333
Ca        8.450
Si       26.044
Al        9.114
O        53.983
H         2.409
 
Chlorite    Si3.32 Al3.37 Mg2.31 O18 H4.932
Si       17.485
Al       17.051
Mg       10.528
O        54.004
H         0.932
 
Johannsenite    Ca Mn Si2 O6
Ca       16.214
Mn       22.226
Si       22.724
O        38.836
 
Prehnite    Ca2 Al2 Si3 O12 H2
Ca       19.437
Al       13.086
Si       20.432
O        46.557
H         0.489
 
Glauberite    Ca Na2 S2 O8
Ca       14.407
Na       16.528
S        23.054
O        46.011
 
Pollucite    (Cs.7 Na.3) (Al.99 Si2.01) O6
Cs       33.335
Na        2.471
Al        9.571
Si       20.227
O        34.396
 
Flinkite    Mn3 As (O8 H4)
Mn       44.333
As       20.153
O        34.429
H         1.084
 
Retzian    Y As Mn2 O8 H4
Y        21.913
As       18.466
Mn       27.081
O        31.547
H         0.994
 
Chlorite    Mg3 Si2 O9 H4
Mg       26.312
Si       20.270
O        51.963
H         1.455
 
Barite    Ba S O4
Ba       58.840
S        13.739
O        27.421
 
Walstromite    Ca2 Ba Si3 O9
Ca       17.983
Ba       30.809
Si       18.903
O        32.305
 
Orthoclase    K (Si3 Al) O8
K        14.047
Si       30.272
Al        9.694
O        45.987
 
Orthoclase    K (Si3 Al) O8
K        14.047
Si       30.272
Al        9.694
O        45.987
 
Gersdorffite    Ni (As1.23 S.77)
Ni       33.435
As       52.499
S        14.066
 
Allactite    Mn7 As2 O16 H8
Mn       48.163
As       18.766
O        32.060
H         1.010
 
Graftonite    Ca (Fe1.38 Mn.62) P2 O8
Ca       11.748
Fe       22.591
Mn        9.984
P        18.158
O        37.519
 
Forsterite    (Mg1.8 Fe.2) Si O4
Mg       29.761
Fe        7.598
Si       19.106
O        43.535
 
Forsterite    Mg1.07 Fe.912 Mn.012 Ca.004 Si O4
Mg       15.312
Fe       29.988
Mn        0.388
Ca        0.094
