Grunerite    (Fe6.1 Mg.9) Si8 O23.5 F.5
O        37.781
 
Andradite    Si3 Fe2 Ca3 O12
Si       16.580
Fe       21.979
Ca       23.660
O        37.781
 
Pyrope    Si2.916 Al1.95 Mg2.002 Fe.658 Ti.024 Ca.39 Mn.021 O12
Si       19.053
Al       12.240
Mg       11.320
Fe        8.549
Ti        0.267
Ca        3.636
Mn        0.268
O        44.666
 
Pyrope    Si2.916 Al1.95 Mg2.002 Fe.658 Ti.024 Ca.39 Mn.021 O12
Si       19.053
Al       12.240
Mg       11.320
Fe        8.549
Ti        0.267
Ca        3.636
Mn        0.268
O        44.666
 
Pyrope    Si2.916 Al1.95 Mg2.002 Fe.658 Ti.024 Ca.39 Mn.021 O12
Si       19.053
Al       12.240
Mg       11.320
Fe        8.549
Ti        0.267
Ca        3.636
Mn        0.268
O        44.666
 
Olivine    (Mg1.4 Ni.6) Si O4
Mg       21.092
Ni       21.828
Si       17.409
O        39.670
 
Olivine    (Ni.616 Mg1.384) Si O4
Ni       22.334
Mg       20.780
Si       17.350
O        39.535
 
Olivine    (Ni.617 Mg1.383) Si O4
Ni       22.366
Mg       20.761
Si       17.347
O        39.527
 
Olivine    (Ni.598 Mg1.402) Si O4
Ni       21.765
Mg       21.131
Si       17.417
O        39.687
 
Olivine    (Ni.597 Mg1.403) Si O4
Ni       21.733
Mg       21.151
Si       17.421
O        39.696
 
Olivine    (Ni1.034 Mg.966) Si O4
Ni       34.432
Mg       13.321
Si       15.935
O        36.311
 
Olivine    (Mg.97 Ni1.03) Si O4
Mg       13.387
Ni       34.326
Si       15.948
O        36.340
 
Olivine    (Ni.999 Mg1.001) Si O4
Ni       33.495
Mg       13.899
Si       16.045
O        36.561
 
Olivine    (Ni1.34 Mg.66) Si O4
Ni       42.108
Mg        8.589
Si       15.038
O        34.266
 
Olivine    (Ni1.38 Mg.62) Si O4
Ni       43.048
Mg        8.009
Si       14.928
O        34.015
 
Olivine    (Ni1.399 Mg.601) Si O4
Ni       43.490
Mg        7.737
Si       14.876
O        33.897
 
Olivine    (Ni1.55 Mg.45) Si O4
Ni       46.894
Mg        5.638
Si       14.478
O        32.990
 
Olivine    (Ni1.46 Mg.54) Si O4
Ni       44.887
Mg        6.875
Si       14.713
O        33.525
 
Tourmaline    Na.54 Fe1.902 Al6.966 B3 Si5.856 O30.333 H3
Na        1.252
Fe       10.710
Al       18.950
B         3.270
Si       16.582
O        48.931
H         0.305
 
Lipscombite    Fe1.473 P O5 H
Fe       42.351
P        15.946
O        41.184
H         0.519
 
Pyroxene    (Mg.894 Fe.106) Si O3
Mg       20.947
Fe        5.707
Si       27.075
O        46.271
 
Pyroxene    (Mg.895 Fe.105) Si O3
Mg       20.977
Fe        5.655
Si       27.083
O        46.285
 
Pyroxene    (Mg.893 Fe.108) Si O3
Mg       20.906
Fe        5.810
Si       27.052
O        46.232
 
Pyroxene    (Mg.895 Fe.105) Si O3
Mg       20.977
Fe        5.655
Si       27.083
O        46.285
 
Pyroxene    (Mg.893 Fe.106) Si O3
Mg       20.928
Fe        5.708
Si       27.081
O        46.282
 
Pyroxene    (Mg.893 Fe.106) Si O3
Mg       20.928
Fe        5.708
Si       27.081
O        46.282
 
Pyroxene    (Mg.915 Fe.085) Si O3
Mg       21.577
Fe        4.606
Si       27.249
O        46.569
 
Pyroxene    (Mg.916 Fe.084) Si O3
Mg       21.607
Fe        4.553
Si       27.257
O        46.583
 
Pyroxene    (Mg.914 Fe.086) Si O3
Mg       21.547
Fe        4.658
Si       27.241
O        46.554
 
Pyroxene    (Mg.914 Fe.086) Si O3
Mg       21.547
Fe        4.658
Si       27.241
O        46.554
 
Pyroxene    (Mg.913 Fe.087) Si O3
Mg       21.516
Fe        4.711
Si       27.232
O        46.540
 
Pyroxene    (Mg.914 Fe.086) Si O3
Mg       21.547
Fe        4.658
Si       27.241
O        46.554
 
Enstatite    Mg.712 Cr.306 Si.982 O3
Mg       15.906
Cr       14.625
Si       25.351
O        44.118
 
Staurolite    Fe.581 Mg.233 Zn.163 Ti.022 Al4.499 Si1.804 Mn.02 O12 H.16
Fe        7.816
Mg        1.364
Zn        2.568
Ti        0.254
Al       29.241
Si       12.205
Mn        0.265
O        46.249
H         0.039
 
Staurolite    Al4.499 Ti.022 Zn.163 Mg.233 Fe.581 Si1.804 Mn.02 O12 H.16
Al       29.241
Ti        0.254
Zn        2.568
Mg        1.364
Fe        7.816
Si       12.205
Mn        0.265
O        46.249
H         0.039
 
Kornerupine    Mg3.374 Al6.088 Fe.38 Si4.104 B.428 O22 H
Mg       11.076
Al       22.187
Fe        2.866
Si       15.568
B         0.625
O        47.542
H         0.136
 
Geigerite    As4 Mn5 O26 H22
As       29.598
Mn       27.129
O        41.083
H         2.190
 
Hornblende    Al2.42 Si6.44 Fe1.846 Mg2.224 Ti.07 Ca1.802 Na.628 O24 H2
Al        7.426
Si       20.569
Fe       11.724
Mg        6.147
Ti        0.381
Ca        8.213
Na        1.642
O        43.668
H         0.229
 
Hornblende    Al2.42 Si6.44 Fe1.884 Mg2.186 Ti.07 Ca1.806 Na.664 O24 H1.78
Al        7.409
Si       20.523
Fe       11.939
Mg        6.029
Ti        0.380
Ca        8.213
Na        1.732
O        43.571
H         0.204
 
Hornblende    Al2.42 Si6.44 Fe1.852 Mg2.218 Ti.07 Ca1.83 Na.706 O24 H1.34
Al        7.405
Si       20.512
Fe       11.730
Mg        6.114
Ti        0.380
Ca        8.318
Na        1.841
O        43.547
H         0.153
 
Andradite    Ca3 (Fe1.682 Al.318) Si2.88 O12
Ca       24.259
Fe       18.953
Al        1.731
Si       16.320
O        38.737
 
Andradite    Ca3 (Fe1.504 Al.496) Si2.745 O12
Ca       24.704
Fe       17.258
Al        2.750
Si       15.840
O        39.448
 
Andradite    Ca3 (Fe1.596 Al.404) Si2.58 O12
Ca       24.805
Fe       18.388
Al        2.249
Si       14.949
O        39.609
 
Hibschite    Ca3 Al2 Si2.301 O12 D2.796
Ca       27.549
Al       12.364
Si       14.807
O        43.990
D         1.290
 
Fluorapatite    Ca5 P3 O12 F
Ca       39.736
P        18.426
O        38.071
F         3.767
 
Hydroxylapatite    Ca5 P3 O14 H2
Ca       38.587
P        17.893
O        43.132
H         0.388
 
Chlorapatite    Ca5 P3 O12 Cl1.72 F.11
Ca       36.543
P        16.945
O        35.011
Cl       11.120
F         0.381
 
Coronadite    Mn2 Pb.268 O4
Mn       47.896
Pb       24.206
O        27.897
 
Coronadite    Mn2 Pb.35 O4
Mn       44.594
Pb       29.433
O        25.974
 
BaCuSi2O6    Ba Cu Si2 O6
Ba       38.898
Cu       18.000
Si       15.911
O        27.191
 
Carpholite    K.65 Mn1.35 Li.336 Al4 Si2 O8 F2 H2
K         5.856
Mn       17.088
Li        0.537
Al       24.867
Si       12.942
O        29.491
F         8.755
H         0.464
 
Cummingtonite    Mn2.246 Mg4.514 Ca.24 Si8 O24 H2
Mn       14.459
Mg       12.856
Ca        1.127
Si       26.328
O        44.994
H         0.236
 
Pargasite    (Si6.2 Al1.8) Mg3.343 Fe1.771 Ca1.702 Na3.384 O24 H2
Si       18.626
Al        5.195
Mg        8.691
Fe       10.580
Ca        7.297
Na        8.322
O        41.074
H         0.216
 
Pargasite    (Si5.96 Al2.04) (Mg4.1 Fe.9) Ca1.99 Na1.89 O24 H2
Si       18.988
Al        6.244
Mg       11.304
Fe        5.702
Ca        9.047
Na        4.929
O        43.558
H         0.229
 
Hastingsite    Si6.32 Al1.68 (Mg.55 Fe4.45) Ca2 Na3.96 O24 H2
Si       17.036
Al        4.351
Mg        1.283
Fe       23.852
Ca        7.693
Na        8.738
O        36.854
H         0.193
 
Pargasite    (Si5.96 Al2.04) Mg3.83 Fe1.31 Ca1.86 Na2.28 O24 H2
Si       18.565
Al        6.105
Mg       10.324
Fe        8.114
Ca        8.268
Na        5.813
O        42.587
H         0.224
 
Hornblende    (Si6.92 Al1.08) Mg3.442 Fe1.718 Ca1.7 Na.46 O24 H2
Si       22.396
Al        3.358
Mg        9.640
Fe       11.056
Ca        7.851
Na        1.219
O        44.248
H         0.232
 
Ankerite    Ca.997 Fe.234 Mg.769 C2 O6
Ca       20.840
Fe        6.816
Mg        9.748
C        12.529
O        50.067
 
Ankerite    Ca1.007 Fe.542 Mg.451 C2 O6
Ca       20.018
Fe       15.014
Mg        5.437
C        11.915
O        47.615
 
Ankerite    Ca.997 Fe.73 Mg.273 C2 O6
Ca       19.268
Fe       19.659
Mg        3.200
C        11.584
O        46.290
 
Tolovkite    Ir Sb S
Ir       55.549
Sb       35.184
S         9.267
 
Fukuchilite    (Cu.7 Fe.3) S2
Cu       35.481
Fe       13.364
S        51.155
 
Renierite    Cu9.36 Zn Ge1.62 Fe3.56 S16
Cu       39.927
Zn        4.390
Ge        7.896
Fe       13.346
S        34.441
 
Magnetoplumbite    Pb1.002 Fe12 O19
Pb       17.568
Fe       56.709
O        25.723
 
Pahasapaite    Ca1.374 Li2.9 K.3 Na.048 P6 Be6 O33.5 H34
Ca        6.131
Li        2.241
K         1.306
Na        0.123
P        20.691
Be        6.020
O        59.673
H         3.815
 
Andradite    Ca3 Fe1.885 Si3 O12
Ca       23.963
Fe       20.981
Si       16.792
O        38.264
 
Sverigeite    Sn (Mn1.37 Mg.63) Na Si3 Be2 O13 H.98
Sn       21.840
Mn       13.847
Mg        2.817
Na        4.230
Si       15.501
Be        3.316
O        38.266
H         0.182
 
Wiserite    Mn14 B8 (O32 Mg.5) Si.5 Cl.8 H8
Mn       53.777
B         6.047
O        35.797
Mg        0.850
Si        0.982
Cl        1.983
H         0.564
 
Sclarite    Zn7 C2 O16 H10
Zn       61.208
C         3.212
O        34.231
H         1.348
 
Albite    Al Si3 Na O8
Al       10.290
Si       32.132
Na        8.767
O        48.812
 
Anorthite    Si2 Al2 Ca O8
Si       20.190
Al       19.397
Ca       14.406
O        46.007
 
Anorthite    Si2 Al2 Ca O8
Si       20.190
Al       19.397
Ca       14.406
O        46.007
 
Anorthite    Si Al Ca O4
Si       17.648
Al       16.954
Ca       25.184
O        40.214
 
Anorthite    Si Al Ca O4
Si       17.648
Al       16.954
Ca       25.184
O        40.214
 
Fluorapatite    Ca5 P3 O12.28 F.39 Cl.33 H2
Ca       39.222
P        18.187
O        38.456
F         1.450
Cl        2.290
H         0.395
 
Chlorapatite    Ca5 P3 O12.24 Cl.47 F.29 H
Ca       39.114
P        18.137
O        38.224
Cl        3.252
F         1.075
H         0.197
 
Biotite    Fe Mg2 K (Al Si3) O12 H2
Fe       12.444
Mg       10.831
K         8.712
Al        6.012
Si       18.774
O        42.779
H         0.449
 
Biotite    Fe Mg2 K (Al Si3) O12 H2
Fe       12.444
Mg       10.831
K         8.712
Al        6.012
Si       18.774
O        42.779
H         0.449
 
Biotite    Fe Mg2 K (Al Si3) O12
Fe       12.500
Mg       10.880
K         8.751
Al        6.039
Si       18.858
O        42.972
 
Biotite    Fe Mg2 K (Al Si3) O12 H2
Fe       12.444
Mg       10.831
K         8.712
Al        6.012
Si       18.774
O        42.779
H         0.449
 
Biotite    Fe Mg2 K (Al Si3) O12 H2
Fe       12.444
Mg       10.831
K         8.712
Al        6.012
Si       18.774
O        42.779
H         0.449
 
Spessartine    Mn2.67 Fe.39 Ca.06 Al2.03 Si2.7 O11.04 F.96 H12
Mn       28.850
Fe        4.284
Ca        0.473
Al       10.773
Si       14.914
O        34.740
F         3.587
H         2.379
 
Birnessite    Mn O2.75 Na.29 H3.7
Mn       50.248
O        40.243
Na        6.098
H         3.411
 
Birnessite    Mn O2.85 Mg.144 H.6
Mn       52.501
O        43.576
Mg        3.345
H         0.578
 
Birnessite    Mn O2.7 K.23 H3.7
Mn       49.557
O        38.967
K         8.112
H         3.364
 
Boggsite    (Si3.24 Al.76) O12.247 H10
Si       28.658
Al        6.458
O        61.710
H         3.174
 
Clinoptilolite    (Si15.26 Al2.74) Na1.78 Ca1.78 K1.28 O45.58 H21.94
Si       30.263
Al        5.220
Na        2.890
Ca        5.037
K         3.534
O        51.494
H         1.562
 
Clinoptilolite    (Si7.81 Al1.19) O21.64 Cs.995 H5.96
Si       29.805
Al        4.363
O        47.046
Cs       17.969
H         0.816
 
Stishovite    Si O2
Si       46.743
O        53.257
 
Stishovite    Si O2
Si       46.743
O        53.257
 
Stishovite    Si O2
Si       46.743
O        53.257
 
Stishovite    Si O2
Si       46.743
O        53.257
 
Stishovite    Si O2
Si       46.743
O        53.257
 
Stishovite    Si O2
Si       46.743
O        53.257
 
Stishovite    Si O2
Si       46.743
O        53.257
 
Stishovite    Si O2
Si       46.743
O        53.257
 
Melilite    Ca2 Zn Ge2 O7
Ca       19.902
Zn       16.235
Ge       36.056
O        27.807
 
Melilite    Zn Ge2 Ca2.087 O7
Zn       16.096
Ge       35.747
Ca       20.589
O        27.568
 
Melilite    Zn (Ge1.255 Si.745) Ca2 O7
Zn       17.693
Ge       24.656
Si        5.661
Ca       21.688
O        30.303
 
Edingtonite    (Al2 Si3) Cl K3 O10
Al       11.966
Si       18.684
Cl        7.862
K        26.010
O        35.478
 
Melilite    (Ge2.23 Si.77) Ca5 O11
Ge       28.918
Si        3.862
Ca       35.788
O        31.431
 
Melilite    Na2.05 Ca5.95 Si4 O15
Na        7.388
Ca       37.381
Si       17.611
O        37.620
 
Montebrasite    P Al O5 Li H
P        21.229
Al       18.493
O        54.830
Li        4.757
H         0.691
 
Montebrasite    P Al O4.911 F.089 Li H.911
P        21.204
Al       18.471
O        53.788
F         1.158
Li        4.752
H         0.629
 
Montebrasite    P Al O4.706 F.294 Li H.706
P        21.144
Al       18.419
O        51.399
F         3.813
Li        4.738
H         0.486
 
Montebrasite    P Al O4.567 F.433 Li H.706
P        21.084
Al       18.367
O        49.740
F         5.600
Li        4.725
H         0.484
 
Montebrasite    P Al O4.5 F.5 Li H.706
P        21.056
Al       18.342
O        48.943
F         6.457
Li        4.718
H         0.484
 
Montebrasite    P Al O4 F Li
P        20.943
Al       18.244
O        43.273
F        12.846
Li        4.693
 
Amblygonite    P Al O4.119 F.881 Li H.706
P        20.893
Al       18.200
O        44.454
F        11.290
Li        4.682
H         0.480
 
Calcite    (Ca.936 Mg.064) C O3
Ca       37.862
Mg        1.570
C        12.123
O        48.445
 
Calcite    (Ca.871 Mg.129) C O3
Ca       35.601
Mg        3.198
C        12.250
O        48.952
 
Nissonite    Cu2 P2 Mg2 O15 H12
Cu       25.951
P        12.649
Mg        9.926
O        49.004
H         2.470
 
Yoshiokaite    Si2.65 Al5.35 O16 Ca2.676
Si       12.788
Al       24.802
O        43.983
Ca       18.427
 
Edgarbaileyite    Hg6 Si2 O7
Hg       87.740
Si        4.095
O         8.165
 
Marokite    Mn3 O4
Mn       72.030
O        27.970
 
Diopside    Ni Ca Si2 O6
Ni       23.388
Ca       15.971
Si       22.385
O        38.255
 
Diopside    (Ni.74 Mg.26) Ca Si2 O6
Ni       17.947
Mg        2.611
Ca       16.561
Si       23.212
O        39.669
 
Diopside    (Ni.45 Mg.55) Ca Si2 O6
Ni       11.383
Mg        5.761
Ca       17.273
Si       24.209
O        41.374
 
Diopside    (Ni.22 Mg.78) Ca Si2 O6
Ni        5.761
Mg        8.459
Ca       17.883
Si       25.063
O        42.834
 
Diopside    Mg Ca Si2 O6
Mg       11.224
Ca       18.507
Si       25.939
O        44.330
 
Montesommaite    K (Al.58 Si1.42) O6.25 H.668
K        20.020
Al        8.013
Si       20.421
O        51.202
H         0.345
 
Francisite    Bi Cu3 Se2 Cl O8
Bi       28.985
Cu       26.441
Se       21.903
Cl        4.917
O        17.753
 
Phase-B-anhydrous    Si5 Mg14 O24
Si       16.240
Mg       39.352
O        44.408
 
Phase-B    Si4 Mg12 O21 H2
Si       15.140
Mg       39.307
O        45.281
H         0.272
 
Albite    (Ge3 Al) Na O8
Ge       55.036
Al        6.817
Na        5.808
O        32.339
 
Albite    (Ga1.001 Si2.999) Na O8
Ga       22.882
Si       27.615
Na        7.537
O        41.965
 
Werdingite    Fe.37 Al6.25 Mg.84 Si2 B2.54 O18.5
Fe        3.506
Al       28.614
Mg        3.464
Si        9.531
B         4.659
O        50.224
 
Volynskite    Ag Bi Te2
Ag       18.856
Bi       36.532
Te       44.612
 
Ingodite    Bi (S.56 Te.44)
Bi       73.823
S         6.343
Te       19.833
 
Norrishite    K Li Mn2 Si4 O12
K         8.495
Li        1.508
Mn       23.873
Si       24.409
O        41.715
 
Akaganeite    Fe4 O8 Cl.675
Fe       59.520
O        34.104
Cl        6.376
 
Grandreefite    Pb2 S F2 O4
Pb       75.557
S         5.847
F         6.928
O        11.669
 
Mullite    Al2.4 Si.6 O4.8
Al       40.880
Si       10.638
O        48.482
 
Mullite    Al2.4 Si.6 O4.8
Al       40.880
Si       10.638
O        48.482
 
Titanite    Ca Ti Si O5
Ca       20.444
Ti       24.424
Si       14.326
O        40.806
 
Titanite    Ca Ti Si O5
Ca       20.444
Ti       24.424
Si       14.326
O        40.806
 
Titanite    Ca Ti Si O5
Ca       20.444
Ti       24.424
Si       14.326
O        40.806
 
Titanite    Ca Ti Si O5
Ca       20.444
Ti       24.424
Si       14.326
O        40.806
 
Titanite    Ca Ti Si O5
Ca       20.444
Ti       24.424
Si       14.326
O        40.806
 
Titanite    Ca Ti Si O5
Ca       20.444
Ti       24.424
Si       14.326
O        40.806
 
Titanite    Ca Ti Si O5
Ca       20.444
Ti       24.424
Si       14.326
O        40.806
 
Titanite    Ca Ti Si O5
Ca       20.444
Ti       24.424
Si       14.326
O        40.806
 
Amesite    Si1.075 Al1.849 Mg2.076 O9 H3.625
Si       10.853
Al       17.934
Mg       18.138
O        51.762
H         1.313
 
Clinopyroxene    Mg.91 Fe.1 Al.06 Ca.91 Na.05 Si1.97 O6
Mg       10.133
Fe        2.559
Al        0.742
Ca       16.709
Na        0.527
Si       25.349
O        43.981
 
Clinopyroxene    Mg.83 Cr.09 Al.1 Fe.05 Ca.78 Na.18 Si1.97 O6
Mg        9.294
Cr        2.156
Al        1.243
Fe        1.286
Ca       14.401
Na        1.906
Si       25.489
O        44.224
 
Clinopyroxene    Mg.83 Al.19 Fe.08 Ti.01 Ca.71 Na.2 Si1.98 O6
Mg        9.387
Al        2.385
Fe        2.079
Ti        0.223
Ca       13.241
Na        2.140
Si       25.876
O        44.669
 
Clinopyroxene    Mg.72 Al.22 Fe.2 Ca.61 Na.25 Si2 O6
Mg        8.066
Al        2.736
Fe        5.148
Ca       11.268
Na        2.649
Si       25.889
O        44.245
 
Clinopyroxene    Mg.65 Al.28 Fe.13 Ti.01 Ca.65 Na.26 Si2 O6
Mg        7.338
Al        3.509
Fe        3.372
Ti        0.222
Ca       12.100
Na        2.776
Si       26.091
O        44.590
 
Clinopyroxene    Mg.66 Al.27 Fe.24 Ti.01 Mn.01 Ca.52 Na.29 Si2 O6
Mg        7.378
Al        3.350
Fe        6.164
Ti        0.220
Mn        0.253
Ca        9.585
Na        3.066
Si       25.834
O        44.150
 
Clinopyroxene    Mg.65 Fe.15 Ti.01 Al.32 Ca.55 Na.3 Si2 O6
Mg        7.369
Fe        3.907
Ti        0.223
Al        4.027
Ca       10.281
Na        3.217
Si       26.200
O        44.775
 
Clinopyroxene    Al.52 Mg.46 Fe.07 Ti.01 Ca.47 Na.41 Si2 O6
Al        6.680
Mg        5.323
Fe        1.861
Ti        0.228
Ca        8.969
Na        4.488
Si       26.744
O        45.706
 
Clinopyroxene    Al.58 Mg.4 Fe.07 Ti.01 Na.47 Ca.45 Si1.97 O6
Al        7.455
Mg        4.631
Fe        1.862
Ti        0.228
Na        5.147
Ca        8.591
Si       26.356
O        45.729
 
Clinopyroxene    Al.68 Mg.37 Fe.03 (Na.55 Ca.45) Si1.92 O6
Al        8.753
Mg        4.290
Fe        0.799
Na        6.032
Ca        8.604
Si       25.725
O        45.796
 
Fluorapatite    Ca3.895 Na.474 Ce.631 (P2.841 Si.159) O12 F
Ca       27.932
Na        1.950
Ce       15.820
P        15.746
Si        0.799
O        34.354
F         3.399
 
Hydroxylapatite    Ca4.557 Na.02 Ce.423 (P2.595 Si.405) O12.664 F.335 H2
Ca       33.504
Na        0.084
Ce       10.873
P        14.745
Si        2.087
O        37.170
F         1.168
H         0.370
 
Fluorapatite    Ca4.641 Na.05 Ce.309 (P2.781 Si.219) O12 F
Ca       34.850
Na        0.215
Ce        8.112
P        16.139
Si        1.152
O        35.972
F         3.560
 
Fluorapatite    Ca4.825 Na.01 Ce.165 (P2.841 Si.159) O12.26 F.74 H2
Ca       37.087
Na        0.044
Ce        4.434
P        16.876
Si        0.856
O        37.619
F         2.696
H         0.387
 
Biotite    Si2.856 Al1.369 (K.955 Ca.03 Na.015) Mg2.166 Cr.048 Fe.39 Mn.021 Ti.144 O12
Si       18.525
Al        8.531
K         8.623
Ca        0.278
Na        0.080
Mg       12.158
Cr        0.576
Fe        5.030
Mn        0.266
Ti        1.592
O        44.340
 
Biotite    (Si2.908 Al1.092) K.952 Ca.006 Na.024 Mg2.424 Cr.024 Fe.282 Mn.015 Ti.177 O12
Si       19.156
Al        6.911
K         8.730
Ca        0.056
Na        0.129
Mg       13.818
Cr        0.293
Fe        3.694
Mn        0.193
Ti        1.988
O        45.031
 
Biotite    Si2.932 Al1.161 K.958 Ca.004 Na.016 Mg1.602 Cr.054 Fe.588 Mn.03 Ti.522 O12
Si       18.510
Al        7.041
K         8.420
Ca        0.036
Na        0.083
Mg        8.752
Cr        0.631
Fe        7.381
Mn        0.370
Ti        5.618
O        43.157
 
Biotite    Si2.868 Al1.282 K.955 Ca.013 Na.03 Mg1.899 Cr.072 Fe.504 Mn.027 Ti.324 O12
Si       18.277
Al        7.849
K         8.472
Ca        0.118
Na        0.156
Mg       10.473
Cr        0.849
Fe        6.387
Mn        0.337
Ti        3.520
O        43.563
 
Biotite    Si2.904 Al1.135 (K.947 Ca.002 Na.051) Mg2.088 Cr.054 Fe.498 Mn.018 Ti.267 O12
Si       18.638
Al        6.998
K         8.461
Ca        0.018
Na        0.268
Mg       11.597
Cr        0.642
Fe        6.356
Mn        0.226
Ti        2.921
O        43.874
 
Biotite    Si2.736 Al1.27 K.915 Ca.007 Na.015 Mg1.476 Cr.006 Fe.942 Mn.024 Ti.39 O12
Si       17.141
Al        7.644
K         7.980
Ca        0.063
Na        0.077
Mg        8.002
Cr        0.070
Fe       11.735
Mn        0.294
Ti        4.165
O        42.828
 
Biotite    Si2.832 Al1.249 K.968 Ca.009 Na.02 Mg1.401 Cr.006 Fe1.239 Mn.024 Ti.231 O12
Si       17.297
Al        7.329
K         8.231
Ca        0.078
Na        0.100
Mg        7.405
Cr        0.068
Fe       15.048
Mn        0.287
Ti        2.405
O        41.753
 
Biotite    Si2.764 Al1.428 K.914 Ca.001 Na.022 Mg1.245 Cr.006 Fe1.296 Mn.009 Ti.198 O12
Si       16.973
Al        8.424
K         7.814
Ca        0.009
Na        0.111
Mg        6.616
Cr        0.068
Fe       15.825
Mn        0.108
Ti        2.073
O        41.979
 
Warwickite    B Fe.85 Cr.02 Ti.04 Al.02 Mg1.07 O4
B         7.123
Fe       31.276
Cr        0.685
Ti        1.262
Al        0.356
Mg       17.134
O        42.165
 
Warwickite    B Al.01 Cr.23 Fe.5 Ti.12 Mg1.14 O4
B         7.284
Al        0.182
Cr        8.058
Fe       18.815
Ti        3.871
Mg       18.669
O        43.121
 
Warwickite    B Al.04 Cr.18 Fe.51 Ti.12 Mg1.15 O4
B         7.333
Al        0.732
Cr        6.348
Fe       19.320
Ti        3.897
Mg       18.959
O        43.410
 
Warwickite    B Al.02 Cr.17 Fe.47 Ti.16 Mg1.18 O4
B         7.366
Al        0.368
Cr        6.022
Fe       17.883
Ti        5.219
Mg       19.540
O        43.602
 
Warwickite    B Cr.04 Fe.65 Ti.15 Mg1.16 O4
B         7.277
Cr        1.400
Fe       24.434
Ti        4.834
Mg       18.977
O        43.077
 
Warwickite    B Al.02 Cr.02 Fe.61 Ti.17 Mg1.18 O4
B         7.341
Al        0.366
Cr        0.706
Fe       23.131
Ti        5.527
Mg       19.474
O        43.455
 
Warwickite    B Al.01 Cr.23 Fe.54 Ti.1 Mg1.12 O4
B         7.246
Al        0.181
Cr        8.015
Fe       20.212
Ti        3.209
Mg       18.244
O        42.893
 
Kentrolite    Pb2 Mn1.68 Fe.32 Si2 O9
Pb       57.180
Mn       12.735
Fe        2.466
Si        7.751
O        19.869
 
Luneburgite    Mg3 P2 B2 O20 H18
Mg       14.742
P        12.524
B         4.371
O        64.694
H         3.668
 
Langbanite    Mn13 Sb O24 Si2
Mn       55.967
Sb        9.541
O        30.091
Si        4.402
 
Spinel    (Mg Al2) O4
Mg       17.084
Al       37.931
O        44.985
 
Spinel    (Mg Al2) O4
Mg       17.084
Al       37.931
O        44.985
 
Spinel    (Mg.99 Al2.01) O4
Mg       16.910
Al       38.114
O        44.976
 
Spinel    (Mg Al2) O4
Mg       17.084
Al       37.931
O        44.985
 
Spinel    (Mg.99 Al2.01) O4
Mg       16.910
Al       38.114
O        44.976
 
Spinel    (Mg.99 Al2.01) O4
Mg       16.910
Al       38.114
O        44.976
 
Spinel    (Mg.99 Al2.01) O4
Mg       16.910
Al       38.114
O        44.976
 
Spinel    (Mg.99 Al2.01) O4
Mg       16.910
Al       38.114
O        44.976
 
Spinel    (Mg.99 Al2.01) O4
Mg       16.910
Al       38.114
O        44.976
 
Spinel    (Mg1.01 Al1.99) O4
Mg       17.258
Al       37.749
O        44.993
 
Spinel    (Mg.99 Al2.01) O4
Mg       16.910
Al       38.114
O        44.976
 
Spinel    (Mg.99 Al2.01) O4
Mg       16.910
Al       38.114
O        44.976
 
Spinel    (Mg Al2) O4
Mg       17.084
Al       37.931
O        44.985
 
Spinel    (Mg Al2) O4
Mg       17.084
Al       37.931
O        44.985
 
Ashburtonite    Si4 Cu4 Pb4 C4 O28 Cl
Si        6.506
Cu       14.720
Pb       47.996
C         2.782
O        25.943
Cl        2.053
 
Cianciulliite    Mn Mg2 Zn2 O14
Mn       11.987
Mg       10.606
Zn       28.535
O        48.872
 
Kornerupine    Fe.332 Mg3.158 Al7.08 Si3.56 H.6 O21.75 F.25
Fe        2.507
Mg       10.377
Al       25.827
Si       13.518
H         0.082
O        47.047
F         0.642
 
Milarite    Ca2 Na.188 O30.668 K Si12 (Al.81 Be2.19) H3.52
Ca        8.044
Na        0.434
O        49.244
K         3.924
Si       33.824
Al        2.193
Be        1.981
H         0.356
 
Milarite    Ca1.968 Y.032 Na.24 O30.72 K Si12 (Al.729 Be2.271) H4.48
Ca        7.891
Y         0.285
Na        0.552
O        49.174
K         3.912
Si       33.719
Al        1.968
Be        2.048
H         0.452
 
Milarite    Ca2 O30.92 Na.448 K Si12 (Al.54 Be2.46) H8
Ca        7.967
O        49.171
Na        1.024
K         3.886
Si       33.499
Al        1.448
Be        2.204
H         0.801
 
Milarite    Ca2 O30.94 Na.348 K Si12 (Al.651 Be2.349) H8
Ca        7.967
O        49.202
Na        0.795
K         3.886
Si       33.498
Al        1.746
Be        2.104
H         0.801
 
Milarite    Ca1.532 Y.468 Na.048 K Si12 (Al.48 Be2.52) O30
Ca        6.165
Y         4.178
Na        0.111
K         3.926
Si       33.842
Al        1.300
Be        2.280
O        48.197
 
Milarite    Ca1.38 Y.62 Na.02 K Si12 (Al.36 Be2.64) O30
Ca        5.528
Y         5.509
Na        0.046
K         3.908
Si       33.686
Al        0.971
Be        2.378
O        47.974
 
Fluorapatite    (Ca4.686 Sr.314) P3 O12 F
Ca       36.170
Sr        5.299
P        17.896
O        36.976
F         3.659
 
Fluorapatite    (Ca4.852 Sr.148) P3 O12 F.89
Ca       38.185
Sr        2.546
P        18.247
O        37.701
F         3.320
 
Fluorapatite    (Ca4.395 Mn.605) P3 O12 F.74
