M5-N7,NIST-Chantler 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elm,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U
,Z,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
F,9,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,12657.87393,10696.68438,9087.949512,8364.003657,7301.307197,6439.652253,5673.536329,4965.234829,4340.671393,3633.3308,3209.355435,2833.755589,2520.502257,2251.072911,2018.581837,1811.870187,1629.96106,1464.674445,1316.067491,1187.108088,1072.806137,966.1877,880.022344,799.107577,726.261015,661.230867,603.198868,551.423194,504.81461,455.742776,416.883272,381.924762,351.28561,335.420097,298.153941,277.434405,255.512772,234.903099
Ne,10,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,1063.164937,888.417767,747.957282,685.689542,9650.755576,8609.250762,7663.492147,6740.247709,5906.230215,4959.867327,4397.473549,3898.4055,3479.845787,3117.997877,2803.282464,2520.134149,2268.464165,2039.943543,1834.398292,1655.942622,1497.682312,1350.011062,1230.565671,1118.306917,1017.123081,926.70396,845.932199,773.80673,708.809559,640.312573,586.001724,537.101903,494.893549,473.305265,422.496827,394.277836,364.328917,336.103745
Na,11,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,1447.962128,1205.109695,1010.395402,924.642745,800.195292,700.814028,613.697269,531.497804,6116.142941,6472.760856,5937.725252,5121.082443,4364.744795,3740.897676,3311.764659,2950.269547,2646.825766,2388.347494,2159.641695,1969.001051,1799.305751,1641.395996,1511.750132,1388.180263,1271.022413,1162.614794,1062.82993,972.20172,890.603947,804.661234,736.574934,675.290339,622.408436,595.368366,531.70613,496.32835,458.770821,423.3499
Mg,12,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,2008.880446,1677.082147,1409.830675,1291.669258,1119.815467,982.009249,859.826024,743.229461,641.490341,530.570445,466.555409,410.972603,5130.276279,4880.037327,4453.764078,4025.095742,3610.569691,3217.612408,2866.563837,2586.658393,2340.606809,2115.05146,1934.132612,1765.364278,1613.556524,1477.872399,1356.122534,1246.892222,1147.683174,1042.380081,956.884197,878.921262,810.976756,775.956422,693.464612,647.592565,598.872571,552.897066
Al,13,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,2622.612482,2192.664322,1845.499701,1691.73957,1467.938315,1288.527783,1130.657078,980.279243,848.612001,704.318299,620.691919,547.81491,487.130695,434.83791,389.236846,348.924635,3986.38825,3719.572708,3448.58352,3134.760247,2847.06837,2562.61409,2332.989925,2117.584777,1928.332049,1762.058567,1614.022844,1481.890519,1362.880619,1237.303626,1137.315721,1046.920653,968.424705,928.089331,832.832115,779.747661,723.211861,668.499027
Si,14,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,3497.166868,2924.677794,2461.832874,2256.80543,1958.30119,1718.90515,1508.180349,1305.681007,1128.31681,934.350101,822.165428,724.551083,643.82141,574.699249,515.470039,463.009033,416.983835,375.372663,337.970481,305.629147,904.717402,3094.988726,2871.072332,2633.884597,2409.340343,2201.836096,2013.834667,1844.501398,1694.17276,1537.171067,1413.027789,1301.169719,1204.238463,1154.51658,1037.011072,971.468167,901.621166,835.647536
P,15,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,4307.656147,3603.659802,3033.5274,2780.450604,2411.937665,2116.323789,1856.118038,1605.063026,1385.303216,1145.380361,1006.803675,886.363563,786.900797,701.834197,629.031499,564.609016,508.140301,457.141167,411.337659,371.784548,336.735826,304.127325,277.792291,253.073188,230.805458,2471.508736,2289.410652,2116.678382,1952.455795,1772.798118,1628.443814,1497.411499,1384.838061,1327.497485,1192.245969,1117.4854,1037.770118,962.449904
S,16,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,5469.451401,4581.3808,3860.025915,3539.352941,3071.854099,2696.176406,2364.859584,2044.406527,1763.82136,1457.631534,1280.902995,1127.437702,1000.712201,892.353567,799.659954,717.667553,645.822497,580.962506,522.720422,472.443409,427.900608,386.474089,353.021237,321.624177,293.378663,268.146682,245.634038,225.515104,207.370619,2093.238658,1936.984235,1791.57904,1661.28887,1592.652796,1430.971087,1342.276253,1247.625135,1158.404874
Cl,17,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,6343.133807,5325.355866,4495.330785,4124.582744,3583.06266,3146.804145,2761.409868,2396.05289,2072.721254,1714.934817,1507.62613,1327.455681,1178.651845,1051.365685,942.397432,845.973464,761.453702,685.11426,616.5463,557.343429,504.877766,456.063021,416.637522,379.629113,346.327851,316.573908,290.020694,266.286959,244.908324,222.348358,204.453635,188.302753,174.33158,167.181294,1578.470573,1482.178699,1379.305626,1281.476098
Ar,18,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,7196.102831,6046.64897,5107.436199,4687.678145,4074.033126,3578.950799,3140.472252,2725.017071,2361.241059,1961.970079,1729.946866,1526.587091,1356.105065,1209.588499,1084.078671,973.031224,875.705357,787.771593,708.791444,640.580905,580.140653,523.907923,478.492581,435.863253,397.507913,363.243826,332.668956,305.345941,280.732258,254.760778,234.172323,215.598759,199.548552,191.334296,171.820549,160.654603,148.779625,137.326329
K,19,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,9084.220058,7651.978577,6478.225487,5952.348301,5182.233274,4559.506481,4006.593507,3499.871727,3054.350318,2553.071831,2254.446061,1989.119524,1769.349799,1580.960153,1419.373323,1274.832253,1146.985789,1031.174934,927.147804,837.35203,757.836635,683.901926,624.222895,568.234714,517.889317,472.941076,432.857145,397.058377,364.831372,330.850294,303.923591,279.644042,258.67527,247.948437,222.481587,207.923275,192.448488,177.555971
