M4-N6,NIST-Chantler 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elm,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U
,Z,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
F,9,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,12471.95163,10939.34275,9117.639284,9139.317994,6315.4945,5573.683418,4908.654495,4326.531857,3794.241723,3388.337871,2988.204249,2621.644671,2327.742688,2069.808646,1852.149493,1663.06242,1494.59973,1339.12924,1200.789092,1084.417266,973.862428,874.418361,796.75213,721.847907,654.392824,594.565167,540.928483,493.208802,449.761381,405.344295,369.683469,336.83057,308.479188,290.654662,259.444483,240.385869,220.234218,201.786831
Ne,10,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,1046.494117,909.928135,750.537297,752.421454,8456.630428,7539.487148,6665.580333,5887.161318,5172.917327,4634.951845,4103.867659,3615.232327,3221.367259,2872.697798,2575.840564,2314.270916,2081.317144,1866.301019,1674.881275,1513.756655,1360.645249,1222.793703,1115.037681,1010.989008,917.192432,833.908238,759.181567,692.61345,631.96041,569.863457,519.973524,475.225924,436.563888,412.29259,369.707715,343.619559,315.959257,290.49482
Na,11,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,1424.791114,1234.954401,1013.964586,1016.571309,686.660316,602.38278,524.930643,6137.173272,6630.183443,6226.983004,5454.562476,4615.542354,3898.462816,3405.842256,3017.569092,2701.98,2434.484006,2194.223046,1989.323943,1816.38331,1652.831586,1503.235776,1384.562031,1263.681339,1151.185607,1047.721335,953.824798,870.283965,794.180917,716.351154,653.819923,597.774263,549.336567,518.914321,465.516989,432.784146,398.059892,366.149628
Mg,12,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,1977.29852,1717.917836,1414.736141,1418.318641,962.157286,843.958395,733.900924,639.214282,555.051118,493.38347,433.789934,5196.460391,4988.296488,4548.340783,4117.039846,3685.909742,3289.293764,2918.343317,2616.358034,2365.126038,2131.313214,1922.471683,1760.438139,1604.373907,1463.556938,1337.951459,1224.673137,1122.83502,1029.500263,931.172729,851.572177,779.072754,716.316615,676.880501,607.62548,565.145134,520.056152,478.600452
Al,13,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,2581.735566,2245.617166,1851.876005,1856.532572,1262.900364,1110.128956,968.238543,845.658594,736.244346,655.772629,577.778518,506.714685,449.811105,399.277517,356.744788,4026.749374,3771.243847,3499.017119,3168.16952,2878.056329,2583.084336,2318.068533,2111.31567,1917.067155,1744.53879,1592.02886,1455.036498,1333.243678,1221.947827,1107.525807,1015.162787,931.681262,859.244179,813.656236,733.381311,683.197836,629.074929,579.261073
Si,14,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,3442.771119,2995.198452,2470.334357,2476.542919,1684.696674,1480.780853,1289.448929,1124.342005,977.222464,869.20484,764.667841,669.819485,594.291756,528.521787,473.193482,425.362702,382.900562,343.759624,309.064116,279.865449,3112.498941,2854.722194,2626.942988,2395.282818,2179.970579,1985.62026,1810.137918,1657.111192,1517.979022,1376.168953,1261.861982,1158.945159,1069.605621,1013.339098,914.188382,853.231084,788.403788,728.556333
P,15,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,4240.829158,3690.399408,3044.000022,3051.648082,2074.075576,1822.292828,1584.932399,1380.383011,1198.377348,1064.889124,935.846165,818.916712,725.933236,645.069577,577.109442,518.41753,466.364138,418.422071,375.984501,340.28157,306.477708,276.082856,252.352382,229.456943,2451.904252,2260.741226,2081.422659,1910.057684,1750.827502,1585.246396,1451.410879,1332.604353,1229.592638,1165.249443,1052.116484,982.527276,908.487663,840.092942
S,16,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,5385.358439,4690.882707,3873.282617,3882.963716,2642.383986,2321.788421,2018.702309,1757.540082,1525.244315,1354.956678,1190.484745,1041.502457,923.044172,820.078616,733.572828,658.897627,592.690928,531.726872,477.782012,432.405131,389.4601,350.850043,320.708618,291.669407,265.487695,242.285095,221.426328,202.851871,2070.363083,1889.142029,1740.325558,1598.765931,1475.446155,1398.950675,1264.665711,1182.169163,1094.492408,1013.184378
Cl,17,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,6246.896079,5450.984657,4510.599481,4521.749536,3084.243867,2711.294964,2366.816692,2065.402869,1794.214989,1594.518847,1401.481369,1226.551617,1087.430691,966.403527,864.682217,776.836929,698.92049,627.150515,563.630316,510.185245,459.581807,414.078432,378.549855,344.312364,313.438211,286.070167,261.463315,239.584089,219.589638,199.13201,182.626505,167.818163,1625.475088,1543.719044,1397.83557,1307.61194,1211.169966,1122.131009
Ar,18,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,7087.561293,6188.599099,5124.719229,5137.340126,3507.771976,3083.456184,2691.775172,2353.075062,2050.37743,1827.495956,1610.195174,1411.234491,1251.11765,1111.727502,994.576295,893.418454,803.675282,721.008337,647.82357,586.25556,527.960918,475.544417,434.620263,395.186583,359.633449,328.120377,299.793918,274.601876,251.585681,228.051727,209.072628,192.065959,177.304108,167.785326,150.914308,140.399326,1302.002044,1209.269658
