"Labradorite (Lake Co.)", 40, 15, 2, 8,"si","fe","mg","ca","al","ti","na","o","ka","ka","ka","ka","ka","ka","ka","", .87272, .00451, .00546, .50941, 1.59288, -.00038, .31505, 0, 23.957, .319, .084, 9.577, 16.359, .000, 2.841, 46.823, 358, 263, 358, 358, 301, 22, 301, 0, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 3, 2, 1, 0
"NBS K-412 mineral glass", 40, 15, 2, 8,"si","fe","mg","ca","al","ti","na","o","ka","ka","ka","ka","ka","ka","ka","", .76939, .12948, 1.00195, .59453, .42359, .00030, -.00008, 0, 21.199, 7.742, 11.657, 10.899, 4.906, .000, .000, 42.780, 358, 263, 358, 358, 301, 22, 301, 0, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 3, 2, 1, 0
"Fe2SiO4 (synthetic fayalite)", 40, 15, 2, 8,"si","fe","mg","ca","al","ti","na","o","ka","ka","ka","ka","ka","ka","ka","", .48832, 1.00000, .00152, .00139, .00031, -.00013, -.00077, 0, 13.785, 54.809, .000, .000, .000, .000, .000, 31.407, 358, 263, 358, 358, 301, 22, 301, 0, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 3, 2, 1, 0
"Albite (cazadero)", 40, 15, 2, 8,"si","fe","mg","ca","al","ti","na","o","ka","ka","ka","ka","ka","ka","ka","", 1.19602, -.00008, .00095, .00035, 1.00000, .00024, 1.00000, 0, 31.898, .000, .000, .021, 10.532, .000, 8.858, 48.807, 358, 263, 358, 358, 301, 22, 301, 0, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 3, 2, 1, 0
"Diopside (Chesterman)", 40, 15, 2, 8,"si","fe","mg","ca","al","ti","na","o","ka","ka","ka","ka","ka","ka","ka","", 1.00284, .00081, 1.00366, .99825, .00297, .00529, .00096, 0, 25.925, .047, 11.192, 18.489, .016, .000, .015, 44.316, 358, 263, 358, 358, 301, 22, 301, 0, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 3, 2, 1, 0
