id,symbolA,family,transition,symbolB,incidentEnergy,weightFractionA,kRatio,takeoffAngle
107,Co,K,a,B,10.00,0.8450,0.7823,40.00
108,Co,K,a,B,12.00,0.8450,0.7939,40.00
109,Co,K,a,B,15.00,0.8450,0.8058,40.00
110,Co,K,a,B,20.00,0.8450,0.8180,40.00
111,Co,K,a,B,25.00,0.8450,0.8244,40.00
112,Co,K,a,B,30.00,0.8450,0.8278,40.00
113,Ni,K,a,B,10.00,0.9422,0.9238,40.00
114,Ni,K,a,B,12.00,0.9422,0.9262,40.00
115,Ni,K,a,B,15.00,0.9422,0.9303,40.00
116,Ni,K,a,B,20.00,0.9422,0.9358,40.00
117,Ni,K,a,B,25.00,0.9422,0.9380,40.00
118,Ni,K,a,B,30.00,0.9422,0.9382,40.00
119,Ni,K,a,B,10.00,0.9157,0.8858,40.00
120,Ni,K,a,B,12.00,0.9157,0.8899,40.00
121,Ni,K,a,B,15.00,0.9157,0.8950,40.00
122,Ni,K,a,B,20.00,0.9157,0.9005,40.00
123,Ni,K,a,B,25.00,0.9157,0.9040,40.00
124,Ni,K,a,B,30.00,0.9157,0.9060,40.00
125,Ni,K,a,B,10.00,0.8560,0.8083,40.00
126,Ni,K,a,B,12.00,0.8560,0.8180,40.00
127,Ni,K,a,B,15.00,0.8560,0.8283,40.00
128,Ni,K,a,B,20.00,0.8560,0.8388,40.00
129,Ni,K,a,B,25.00,0.8560,0.8438,40.00
130,Ni,K,a,b,30.00,0.8560,0.8450,40.00
131,Zr,L,a,B,4.00,0.8211,0.7540,40.00
132,Zr,L,a,B,6.00,0.8211,0.7662,40.00
133,Zr,L,a,B,8.00,0.8211,0.7770,40.00
134,Zr,L,a,B,10.00,0.8211,0.7855,40.00
135,Zr,L,a,B,12.00,0.8211,0.7930,40.00
136,Zr,L,a,B,15.00,0.8211,0.8024,40.00
137,Zr,L,a,B,20.00,0.8211,0.8140,40.00
138,Zr,L,a,B,25.00,0.8211,0.8225,40.00
139,Zr,L,a,B,30.00,0.8211,0.8290,40.00
140,Nb,L,a,B,4.00,0.8958,0.8588,40.00
141,Nb,L,a,B,6.00,0.8958,0.8680,40.00
142,Nb,L,a,B,8.00,0.8958,0.8758,40.00
143,Nb,L,a,B,10.00,0.8958,0.8820,40.00
144,Nb,L,a,B,12.00,0.8958,0.8878,40.00
145,Nb,L,a,B,15.00,0.8958,0.8942,40.00
146,Nb,L,a,B,20.00,0.8958,0.9036,40.00
147,Nb,L,a,B,25.00,0.8958,0.9100,40.00
148,Nb,L,a,b,30.00,0.8958,0.9157,40.00
149,Nb,L,a,B,4.00,0.8285,0.7502,40.00
150,Nb,L,a,B,6.00,0.8285,0.7640,40.00
151,Nb,L,a,B,8.00,0.8285,0.7760,40.00
152,Nb,L,a,B,10.00,0.8285,0.7862,40.00
153,Nb,L,a,B,12.00,0.8285,0.7950,40.00
154,Nb,L,a,B,15.00,0.8285,0.8060,40.00
155,Nb,L,a,B,20.00,0.8285,0.8210,40.00
156,Nb,L,a,B,25.00,0.8285,0.8338,40.00
157,Nb,L,a,B,30.00,0.8285,0.8442,40.00
158,Mo,L,a,B,4.00,0.8987,0.8401,40.00
159,Mo,L,a,B,6.00,0.8987,0.8500,40.00
160,Mo,L,a,B,8.00,0.8987,0.8580,40.00
161,Mo,L,a,B,10.00,0.8987,0.8660,40.00
162,Mo,L,a,B,12.00,0.8987,0.8731,40.00
163,Mo,L,a,B,15.00,0.8987,0.8828,40.00
164,Mo,L,a,B,20.00,0.8987,0.8978,40.00
165,Mo,L,a,B,25.00,0.8987,0.9100,40.00
166,Mo,L,a,B,30.00,0.8987,0.9202,40.00
167,Ta,M,a,B,4.00,0.9436,0.9160,40.00
168,Ta,M,a,B,6.00,0.9436,0.9208,40.00
169,Ta,M,a,B,8.00,0.9436,0.9258,40.00
170,Ta,M,a,B,10.00,0.9436,0.9295,40.00
171,Ta,M,a,B,12.00,0.9436,0.9324,40.00
172,Ta,M,a,B,15.00,0.9436,0.9365,40.00
173,Ta,M,a,B,20.00,0.9436,0.9430,40.00
174,Ta,M,a,B,25.00,0.9436,0.9462,40.00
175,Ta,M,a,B,30.00,0.9436,0.9482,40.00
176,Ta,L,a,B,12.00,0.9436,0.9158,40.00
177,Ta,L,a,B,15.00,0.9436,0.9193,40.00
178,Ta,L,a,B,20.00,0.9436,0.9230,40.00
179,Ta,L,a,B,25.00,0.9436,0.9258,40.00
180,Ta,L,a,B,30.00,0.9436,0.9260,40.00
181,Ta,M,a,B,4.00,0.9077,0.8478,40.00
182,Ta,M,a,B,6.00,0.9077,0.8560,40.00
183,Ta,M,a,B,8.00,0.9077,0.8625,40.00
184,Ta,M,a,B,10.00,0.9077,0.8690,40.00
185,Ta,M,a,B,12.00,0.9077,0.8740,40.00
186,Ta,M,a,B,15.00,0.9077,0.8803,40.00
187,Ta,M,a,B,20.00,0.9077,0.8895,40.00
188,Ta,M,a,B,25.00,0.9077,0.8960,40.00
189,Ta,M,a,B,30.00,0.9077,0.9002,40.00
190,Ta,L,a,B,12.00,0.9077,0.8230,40.00
191,Ta,L,a,B,15.00,0.9077,0.8365,40.00
192,Ta,L,a,B,20.00,0.9077,0.8525,40.00
193,Ta,L,a,B,25.00,0.9077,0.8622,40.00
194,Ta,L,a,B,30.00,0.9077,0.8690,40.00
195,W,M,a,B,4.00,0.9445,0.8850,40.00
196,W,M,a,B,6.00,0.9445,0.8950,40.00
197,W,M,a,B,8.00,0.9445,0.9038,40.00
198,W,M,a,B,10.00,0.9445,0.9105,40.00
199,W,M,a,B,12.00,0.9445,0.9178,40.00
200,W,M,a,B,15.00,0.9445,0.9258,40.00
