id,symbolA,family,transition,symbolB,incidentEnergy,weightFractionA,kRatio,takeoffAngle
452,U,M,b,P,25.00,0.8849,0.8506,52.50
453,U,M,b,P,30.00,0.8849,0.8544,52.50
454,U,M,b,P,35.00,0.8849,0.8592,52.50
455,U,M,b,S,10.00,0.8813,0.8191,52.50
456,U,M,b,S,15.00,0.8813,0.8291,52.50
457,U,M,b,S,20.00,0.8813,0.8394,52.50
458,U,M,b,S,25.00,0.8813,0.8452,52.50
459,U,M,b,S,30.00,0.8813,0.8500,52.50
460,U,M,b,S,35.00,0.8813,0.8530,52.50
461,U,M,b,Fe,10.00,0.9624,0.9436,52.50
462,U,M,b,Fe,15.00,0.9624,0.9478,52.50
463,U,M,b,Fe,20.00,0.9624,0.9506,52.50
464,U,M,b,Fe,25.00,0.9624,0.9524,52.50
465,U,M,b,Fe,30.00,0.9624,0.9538,52.50
466,U,M,b,Fe,35.00,0.9624,0.9549,52.50
467,Pb,L,a,S,20.00,0.8660,0.8070,75.00
468,Pb,L,a,S,25.00,0.8660,0.8090,75.00
469,Pb,L,a,S,30.00,0.8660,0.8130,75.00
470,Pb,L,a,S,35.00,0.8660,0.8180,75.00
471,Pb,L,a,S,40.00,0.8660,0.8260,75.00
472,Zn,K,a,S,20.00,0.6710,0.6200,75.00
473,Zn,K,a,S,25.00,0.6710,0.6260,75.00
474,Zn,K,a,S,30.00,0.6710,0.6280,75.00
475,B,K,a,C,4.00,0.7981,0.7768,40.00
476,B,K,a,C,6.00,0.7981,0.7754,40.00
477,B,K,a,C,8.00,0.7981,0.7471,40.00
478,B,K,a,C,10.00,0.7981,0.7309,40.00
479,B,K,a,C,12.00,0.7981,0.7132,40.00
480,B,K,a,C,15.00,0.7981,0.6853,40.00
481,B,K,a,C,20.00,0.7981,0.6544,40.00
482,B,K,a,C,25.00,0.7981,0.6516,40.00
483,B,K,a,C,30.00,0.7981,0.6574,40.00
484,Si,K,a,C,4.00,0.7005,0.6800,40.00
485,Si,K,a,C,6.00,0.7005,0.6798,40.00
486,Si,K,a,C,8.00,0.7005,0.6790,40.00
487,Si,K,a,C,10.00,0.7005,0.6787,40.00
488,Si,K,a,C,12.00,0.7005,0.6780,40.00
489,Si,K,a,C,15.00,0.7005,0.6762,40.00
490,Si,K,a,C,20.00,0.7005,0.6730,40.00
491,Si,K,a,C,25.00,0.7005,0.6682,40.00
492,Si,K,a,C,30.00,0.7005,0.6630,40.00
493,Ti,K,a,C,6.00,0.8160,0.7832,40.00
494,Ti,K,a,C,8.00,0.8160,0.7862,40.00
495,Ti,K,a,C,10.00,0.8160,0.7888,40.00
496,Ti,K,a,C,12.00,0.8160,0.7910,40.00
497,Ti,K,a,C,15.00,0.8160,0.7938,40.00
498,Ti,K,a,C,20.00,0.8160,0.7980,40.00
499,Ti,K,a,C,25.00,0.8160,0.8012,40.00
500,Ti,K,a,C,30.00,0.8160,0.8033,40.00
501,V,K,a,C,6.00,0.8400,0.7952,40.00
502,V,K,a,C,8.00,0.8400,0.8013,40.00
503,V,K,a,C,10.00,0.8400,0.8065,40.00
504,V,K,a,C,12.00,0.8400,0.8111,40.00
505,V,K,a,C,15.00,0.8400,0.8162,40.00
506,V,K,a,C,20.00,0.8400,0.8220,40.00
507,V,K,a,C,25.00,0.8400,0.8265,40.00
508,V,K,a,C,30.00,0.8400,0.8295,40.00
509,Cr,K,a,C,8.00,0.9432,0.9252,40.00
510,Cr,K,a,C,10.00,0.9432,0.9257,40.00
511,Cr,K,a,C,12.00,0.9432,0.9259,40.00
512,Cr,K,a,C,15.00,0.9432,0.9261,40.00
513,Cr,K,a,C,20.00,0.9432,0.9265,40.00
514,Cr,K,a,C,25.00,0.9432,0.9271,40.00
515,Cr,K,a,C,30.00,0.9432,0.9278,40.00
516,Cr,K,a,C,8.00,0.9090,0.8790,40.00
517,Cr,K,a,C,10.00,0.9090,0.8819,40.00
518,Cr,K,a,C,12.00,0.9090,0.8842,40.00
519,Cr,K,a,C,15.00,0.9090,0.8875,40.00
520,Cr,K,a,C,20.00,0.9090,0.8918,40.00
521,Cr,K,a,C,25.00,0.9090,0.8950,40.00
522,Cr,K,a,C,30.00,0.9090,0.8972,40.00
523,Cr,K,a,C,8.00,0.8666,0.8310,40.00
524,Cr,K,a,C,10.00,0.8666,0.8322,40.00
525,Cr,K,a,C,12.00,0.8666,0.8358,40.00
526,Cr,K,a,C,15.00,0.8666,0.8385,40.00
527,Cr,K,a,C,20.00,0.8666,0.8422,40.00
528,Cr,K,a,C,25.00,0.8666,0.8455,40.00
529,Cr,K,a,C,30.00,0.8666,0.8478,40.00
530,Fe,K,a,C,8.00,0.9333,0.9172,40.00
531,Fe,K,a,C,10.00,0.9333,0.9194,40.00
532,Fe,K,a,C,12.00,0.9333,0.9215,40.00
533,Fe,K,a,C,15.00,0.9333,0.9239,40.00
534,Fe,K,a,C,20.00,0.9333,0.9270,40.00
535,Fe,K,a,C,25.00,0.9333,0.9290,40.00
536,Fe,K,a,C,30.00,0.9333,0.9304,40.00
537,Zr,L,a,C,4.00,0.9145,0.8981,40.00
538,Zr,L,a,C,6.00,0.9145,0.9011,40.00
539,Zr,L,a,C,8.00,0.9145,0.9033,40.00
540,Zr,L,a,C,10.00,0.9145,0.9055,40.00
541,Zr,L,a,C,12.00,0.9145,0.9070,40.00
542,Zr,L,a,C,15.00,0.9145,0.9088,40.00
543,Zr,L,a,C,20.00,0.9145,0.9095,40.00
544,Zr,L,a,C,25.00,0.9145,0.9100,40.00
545,Zr,L,a,C,30.00,0.9145,0.9110,40.00
546,Nb,L,a,C,4.00,0.9145,0.8750,40.00
547,Nb,L,a,C,6.00,0.9145,0.8822,40.00
548,Nb,L,a,C,8.00,0.9145,0.8880,40.00
549,Nb,L,a,C,10.00,0.9145,0.8930,40.00
550,Nb,L,a,C,12.00,0.9145,0.8970,40.00
551,Nb,L,a,C,15.00,0.9145,0.9022,40.00
552,Nb,L,a,C,20.00,0.9145,0.9088,40.00
553,Nb,L,a,C,25.00,0.9145,0.9135,40.00
554,Nb,L,a,C,30.00,0.9145,0.9175,40.00
555,Mo,L,a,C,4.00,0.9442,0.9060,40.00
556,Mo,L,a,C,6.00,0.9442,0.9128,40.00
557,Mo,L,a,C,8.00,0.9442,0.9182,40.00
558,Mo,L,a,C,10.00,0.9442,0.9225,40.00
559,Mo,L,a,C,12.00,0.9442,0.9264,40.00
560,Mo,L,a,C,15.00,0.9442,0.9312,40.00
561,Mo,L,a,C,20.00,0.9442,0.9373,40.00
562,Mo,L,a,C,25.00,0.9442,0.9418,40.00
563,Mo,L,a,C,30.00,0.9442,0.9458,40.00
564,Ta,M,a,C,4.00,0.9400,0.8765,40.00
565,Ta,M,a,C,6.00,0.9400,0.8815,40.00
566,Ta,M,a,C,8.00,0.9400,0.8862,40.00
567,Ta,M,a,C,10.00,0.9400,0.8905,40.00
568,Ta,M,a,C,12.00,0.9400,0.8943,40.00
569,Ta,M,a,C,15.00,0.9400,0.9000,40.00
570,Ta,M,a,C,20.00,0.9400,0.9088,40.00
571,Ta,M,a,C,25.00,0.9400,0.9162,40.00
572,Ta,M,a,C,30.00,0.9400,0.9220,40.00
573,Ta,L,a,C,12.00,0.9400,0.8820,40.00
574,Ta,L,a,C,15.00,0.9400,0.8886,40.00
575,Ta,L,a,C,20.00,0.9400,0.8980,40.00
576,Ta,L,a,C,25.00,0.9400,0.9060,40.00
577,Ta,L,a,C,30.00,0.9400,0.9130,40.00
578,Ta,M,a,C,4.00,0.9700,0.9342,40.00
579,Ta,M,a,C,6.00,0.9700,0.9390,40.00
580,Ta,M,a,C,8.00,0.9700,0.9428,40.00
581,Ta,M,a,C,10.00,0.9700,0.9462,40.00
582,Ta,M,a,C,12.00,0.9700,0.9490,40.00
583,Ta,M,a,C,15.00,0.9700,0.9540,40.00
584,Ta,M,a,C,20.00,0.9700,0.9602,40.00
585,Ta,M,a,C,25.00,0.9700,0.9660,40.00
586,Ta,M,a,C,30.00,0.9700,0.9702,40.00
587,Ta,L,a,C,12.00,0.9700,0.9348,40.00
588,Ta,L,a,C,15.00,0.9700,0.9406,40.00
589,Ta,L,a,C,20.00,0.9700,0.9453,40.00
590,Ta,L,a,C,25.00,0.9700,0.9503,40.00
591,Ta,L,a,C,30.00,0.9700,0.9543,40.00
592,W,M,a,C,4.00,0.9387,0.8560,40.00
593,W,M,a,C,6.00,0.9387,0.8712,40.00
594,W,M,a,C,8.00,0.9387,0.8823,40.00
595,W,M,a,C,10.00,0.9387,0.8910,40.00
596,W,M,a,C,12.00,0.9387,0.8987,40.00
597,W,M,a,C,15.00,0.9387,0.9081,40.00
598,W,M,a,C,20.00,0.9387,0.9212,40.00
599,W,M,a,C,25.00,0.9387,0.9328,40.00
600,W,M,a,C,30.00,0.9387,0.9428,40.00
601,W,L,a,C,12.00,0.9387,0.8558,40.00
602,W,L,a,C,15.00,0.9387,0.8782,40.00
603,W,L,a,C,20.00,0.9387,0.8975,40.00
604,W,L,a,C,25.00,0.9387,0.9093,40.00
605,W,L,a,C,30.00,0.9387,0.9178,40.00
606,W,M,a,C,4.00,0.9700,0.8865,40.00
607,W,M,a,C,6.00,0.9700,0.9060,40.00
608,W,M,a,C,8.00,0.9700,0.9178,40.00
609,W,M,a,C,10.00,0.9700,0.9272,40.00
610,W,M,a,C,12.00,0.9700,0.9350,40.00
611,W,M,a,C,15.00,0.9700,0.9443,40.00
612,W,M,a,C,20.00,0.9700,0.9568,40.00
613,W,M,a,C,25.00,0.9700,0.9668,40.00
614,W,M,a,C,30.00,0.9700,0.9756,40.00
615,W,L,a,C,12.00,0.9700,0.9153,40.00
616,W,L,a,C,15.00,0.9700,0.9290,40.00
617,W,L,a,C,20.00,0.9700,0.9432,40.00
618,W,L,a,C,25.00,0.9700,0.9522,40.00
619,W,L,a,C,30.00,0.9700,0.9580,40.00
620,Al,K,a,Ti,7.00,0.3980,0.3853,40.00
621,Al,K,a,Ti,10.50,0.3980,0.3543,40.00
622,Al,K,a,Ti,15.70,0.3980,0.3008,40.00
623,Al,K,a,Ti,20.80,0.3980,0.2585,40.00
624,Al,K,a,Ti,26.00,0.3980,0.2162,40.00
625,Al,K,a,Ti,31.30,0.3980,0.1870,40.00
626,Al,K,a,Ti,36.40,0.3980,0.1579,40.00
627,Al,K,a,Ti,40.00,0.3980,0.1429,40.00
628,Al,K,a,Ni,5.30,0.3090,0.2957,40.00
629,Al,K,a,Ni,10.50,0.3090,0.2184,40.00
630,Al,K,a,Ni,15.90,0.3090,0.1576,40.00
631,Al,K,a,Ni,21.20,0.3090,0.1141,40.00
632,Al,K,a,Ni,26.60,0.3090,0.0878,40.00
633,Al,K,a,Ni,31.90,0.3090,0.0683,40.00
634,Al,K,a,Ni,37.20,0.3090,0.0570,40.00
635,Al,K,a,Ni,5.30,0.1250,0.1246,40.00
636,Al,K,a,Ni,10.50,0.1250,0.0848,40.00
637,Al,K,a,Ni,15.90,0.1250,0.0585,40.00
638,Al,K,a,Ni,21.20,0.1250,0.0405,40.00
639,Al,K,a,Ni,26.60,0.1250,0.0307,40.00
640,Al,K,a,Ni,31.90,0.1250,0.0233,40.00
641,Al,K,a,Ni,5.30,0.0490,0.0473,40.00
642,Al,K,a,Ni,10.50,0.0490,0.0315,40.00
643,Al,K,a,Ni,15.90,0.0490,0.0210,40.00
644,Cu,L,a,Ni,2.50,0.5650,0.5135,40.00
645,Cu,L,a,Ni,5.00,0.5650,0.4487,40.00
646,Cu,L,a,Ni,7.60,0.5650,0.3876,40.00
647,Cu,L,a,Ni,10.20,0.5650,0.3303,40.00
648,Cu,L,a,Ni,12.60,0.5650,0.2823,40.00
649,Cu,L,a,Ni,15.30,0.5650,0.2419,40.00
650,Cu,L,a,Ni,20.50,0.5650,0.1930,40.00
651,Cu,L,a,Ni,25.60,0.5650,0.1648,40.00
652,Cu,L,a,Ni,30.80,0.5650,0.1489,40.00
653,Cu,L,a,Ni,35.50,0.5650,0.1395,40.00
654,Cu,L,a,Ni,40.00,0.5650,0.1310,40.00
655,Cu,L,a,Au,5.20,0.7000,0.7143,40.00
656,Cu,L,a,Au,10.40,0.7000,0.6259,40.00
657,Cu,L,a,Au,15.70,0.7000,0.5489,40.00
658,Cu,L,a,Au,20.80,0.7000,0.4981,40.00
659,Cu,L,a,Au,26.10,0.7000,0.4662,40.00
660,Cu,L,a,Au,31.30,0.7000,0.4398,40.00
661,Cu,L,a,Au,36.50,0.7000,0.4229,40.00
662,Cu,L,a,Au,39.50,0.7000,0.4173,40.00
663,Cu,L,a,Au,5.20,0.4920,0.5019,40.00
664,Cu,L,a,Au,10.40,0.4920,0.4098,40.00
665,Cu,L,a,Au,15.70,0.4920,0.3383,40.00
666,Cu,L,a,Au,20.80,0.4920,0.2932,40.00
667,Cu,L,a,Au,26.10,0.4920,0.2632,40.00
668,Cu,L,a,Au,31.30,0.4920,0.2444,40.00
669,Cu,L,a,Au,36.50,0.4920,0.2368,40.00
670,Cu,L,a,Au,39.50,0.4920,0.2331,40.00
671,Ti,K,a,Al,15.70,0.6020,0.5789,40.00
672,Ti,K,a,Al,20.90,0.6020,0.5605,40.00
673,Ti,K,a,Al,26.10,0.6020,0.5580,40.00
674,Ti,K,a,Al,31.30,0.6020,0.5435,40.00
675,Ti,K,a,Al,36.50,0.6020,0.5437,40.00
676,Ti,K,a,Al,40.00,0.6020,0.5380,40.00
677,Au,L,a,Cu,13.00,0.3000,0.2319,40.00
678,Au,L,a,Cu,15.70,0.3000,0.2278,40.00
679,Au,L,a,Cu,20.90,0.3000,0.2365,40.00
680,Au,L,a,Cu,26.10,0.3000,0.2402,40.00
681,Au,L,a,Cu,31.30,0.3000,0.2413,40.00
682,Au,L,a,Cu,36.50,0.3000,0.2381,40.00
683,Au,L,a,Cu,39.50,0.3000,0.2377,40.00
684,Au,L,a,Cu,13.00,0.5080,0.4174,40.00
685,Au,L,a,Cu,15.70,0.5080,0.4142,40.00
686,Au,L,a,Cu,20.90,0.5080,0.4285,40.00
687,Au,L,a,Cu,26.10,0.5080,0.4348,40.00
688,Au,L,a,Cu,31.30,0.5080,0.4337,40.00
689,Au,L,a,Cu,36.50,0.5080,0.4282,40.00
690,Au,L,a,Cu,39.50,0.5080,0.4279,40.00
691,Cu,K,a,Au,13.00,0.7000,0.7758,40.00
692,Cu,K,a,Au,15.70,0.7000,0.7583,40.00
693,Cu,K,a,Au,20.90,0.7000,0.7468,40.00
694,Cu,K,a,Au,26.10,0.7000,0.7387,40.00
695,Cu,K,a,Au,31.30,0.7000,0.7270,40.00
696,Cu,K,a,Au,36.50,0.7000,0.7223,40.00
697,Cu,K,a,Au,39.50,0.7000,0.7161,40.00
698,Cu,K,a,Au,13.00,0.4920,0.5850,40.00
699,Cu,K,a,Au,15.70,0.4920,0.5697,40.00
700,Cu,K,a,Au,20.90,0.4920,0.5534,40.00
701,Cu,K,a,Au,26.10,0.4920,0.5403,40.00
702,Cu,K,a,Au,31.30,0.4920,0.5298,40.00
703,Cu,K,a,Au,36.50,0.4920,0.5229,40.00
704,Cu,K,a,Au,39.50,0.4920,0.5160,40.00
705,Al,K,a,Cu,15.90,0.9445,0.8801,40.00
706,Al,K,a,Cu,21.20,0.9445,0.8441,40.00
707,Al,K,a,Cu,31.80,0.9445,0.7637,40.00
708,Al,K,a,Cu,39.90,0.9445,0.7065,40.00
709,Cu,K,a,Al,15.90,0.0555,0.0469,40.00
710,Cu,K,a,Al,21.20,0.0555,0.0479,40.00
711,Cu,K,a,Al,31.80,0.0555,0.0487,40.00
712,Cu,K,a,Al,39.30,0.0555,0.0483,40.00
713,Cu,L,a,Al,15.90,0.0555,0.0515,40.00
714,Cu,L,a,Al,21.20,0.0555,0.0523,40.00
715,Cu,L,a,Al,31.80,0.0555,0.0514,40.00
716,Cu,L,a,Al,39.90,0.0555,0.0509,40.00
717,Ag,L,b,Au,15.00,0.1996,0.1670,52.50
718,Ag,L,b,Au,20.00,0.1996,0.1460,52.50
719,Ag,L,b,Au,30.00,0.1996,0.1120,52.50
720,Ag,L,b,Au,40.00,0.1996,0.0898,52.50
721,Ag,L,b,Au,48.50,0.1996,0.0720,52.50
722,Ag,L,b,Au,15.00,0.3992,0.3490,52.50
723,Ag,L,b,Au,20.00,0.3992,0.3120,52.50
724,Ag,L,b,Au,30.00,0.3992,0.2530,52.50
725,Ag,L,b,Au,40.00,0.3992,0.2090,52.50
726,Ag,L,b,Au,48.50,0.3992,0.1750,52.50
727,Ag,L,b,Au,15.00,0.5993,0.5480,52.50
728,Ag,L,b,Au,20.00,0.5993,0.5060,52.50
729,Ag,L,b,Au,30.00,0.5993,0.4360,52.50
730,Ag,L,b,Au,40.00,0.5993,0.3680,52.50
731,Ag,L,b,Au,48.50,0.5993,0.3400,52.50
732,Ag,L,b,Au,15.00,0.7758,0.7420,52.50
733,Ag,L,b,Au,20.00,0.7758,0.7000,52.50
734,Ag,L,b,Au,30.00,0.7758,0.6450,52.50
735,Ag,L,b,Au,40.00,0.7758,0.5740,52.50
736,Ag,L,b,Au,48.50,0.7758,0.5420,52.50
737,Pd,L,a,Au,5.20,0.3590,0.3921,40.00
738,Pd,L,a,Au,10.30,0.3590,0.3342,40.00
739,Pd,L,a,Au,15.50,0.3590,0.2876,40.00
740,Pd,L,a,Au,20.70,0.3590,0.2445,40.00
741,Pd,L,a,Au,25.80,0.3590,0.2154,40.00
742,Pd,L,a,Au,31.00,0.3590,0.1898,40.00
743,Pd,L,a,Au,36.20,0.3590,0.1742,40.00
744,Au,M,a,Pd,5.20,0.6410,0.5786,40.00
745,Au,M,a,Pd,10.30,0.6410,0.5936,40.00
746,Au,M,a,Pd,15.50,0.6410,0.6005,40.00
747,Au,M,a,Pd,20.70,0.6410,0.6033,40.00
748,Au,M,a,Pd,25.80,0.6410,0.5962,40.00
749,Au,M,a,Pd,31.00,0.6410,0.5928,40.00
750,Au,M,a,Pd,36.20,0.6410,0.5883,40.00
751,Cu,K,a,Ni,10.10,0.5650,0.5580,40.00
752,Cu,K,a,Ni,12.50,0.5650,0.5547,40.00
753,Cu,K,a,Ni,15.30,0.5650,0.5556,40.00
754,Cu,K,a,Ni,20.40,0.5650,0.5574,40.00
755,Cu,K,a,Ni,25.60,0.5650,0.5610,40.00
756,Cu,K,a,Ni,30.70,0.5650,0.5587,40.00
757,Cu,K,a,Ni,40.00,0.5650,0.5557,40.00
758,Cu,K,b,Ni,10.20,0.5650,0.5494,40.00
759,Cu,K,b,Ni,12.50,0.5650,0.5418,40.00
760,Cu,K,b,Ni,15.30,0.5650,0.5334,40.00
761,Cu,K,b,Ni,20.50,0.5650,0.5308,40.00
762,Cu,K,b,Ni,25.60,0.5650,0.5143,40.00
763,Cu,K,b,Ni,30.70,0.5650,0.5014,40.00
764,Cu,K,b,Ni,40.00,0.5650,0.4770,40.00
765,Ni,K,b,Cu,10.20,0.4350,0.4473,40.00
766,Ni,K,b,Cu,12.50,0.4350,0.4509,40.00
767,Ni,K,b,Cu,15.30,0.4350,0.4504,40.00
768,Ni,K,b,Cu,20.50,0.4350,0.4387,40.00
769,Ni,K,b,Cu,25.60,0.4350,0.4454,40.00
770,Ni,K,b,Cu,30.70,0.4350,0.4457,40.00
771,Ni,K,b,Cu,40.00,0.4350,0.4460,40.00
772,B,K,a,N,4.00,0.4355,0.3747,40.00
773,B,K,a,N,6.00,0.4355,0.3317,40.00
774,B,K,a,N,8.00,0.4355,0.2856,40.00
775,B,K,a,N,10.00,0.4355,0.2539,40.00
776,B,K,a,N,12.00,0.4355,0.2316,40.00
777,B,K,a,N,15.00,0.4355,0.2049,40.00
778,B,K,a,N,20.00,0.4355,0.1823,40.00
779,B,K,a,N,25.00,0.4355,0.1800,40.00
780,B,K,a,N,30.00,0.4355,0.1834,40.00
781,Si,K,a,N,4.00,0.6006,0.5640,40.00
782,Si,K,a,N,6.00,0.6006,0.5655,40.00
783,Si,K,a,N,8.00,0.6006,0.5660,40.00
784,Si,K,a,N,10.00,0.6006,0.5640,40.00
785,Si,K,a,N,12.00,0.6006,0.5625,40.00
786,Si,K,a,N,15.00,0.6006,0.5570,40.00
787,Si,K,a,N,20.00,0.6006,0.5450,40.00
788,Cr,K,a,N,8.00,0.8882,0.8518,40.00
789,Cr,K,a,N,10.00,0.8882,0.8595,40.00
790,Cr,K,a,N,12.00,0.8882,0.8635,40.00
791,Cr,K,a,N,15.00,0.8882,0.8680,40.00
792,Cr,K,a,N,20.00,0.8882,0.8740,40.00
793,Cr,K,a,N,25.00,0.8882,0.8783,40.00
794,Cr,K,a,N,30.00,0.8882,0.8805,40.00
795,Cr,K,a,N,8.00,0.7878,0.7290,40.00
796,Cr,K,a,N,10.00,0.7878,0.7365,40.00
797,Cr,K,a,N,12.00,0.7878,0.7433,40.00
798,Cr,K,a,N,15.00,0.7878,0.7505,40.00
799,Cr,K,a,N,20.00,0.7878,0.7595,40.00
800,Cr,K,a,N,25.00,0.7878,0.7650,40.00
801,Cr,K,a,N,30.00,0.7878,0.7685,40.00
802,Fe,K,a,N,8.00,0.9440,0.9118,40.00
803,Fe,K,a,N,10.00,0.9440,0.9140,40.00
804,Fe,K,a,N,12.00,0.9440,0.9173,40.00
805,Fe,K,a,N,15.00,0.9440,0.9202,40.00
806,Fe,K,a,N,20.00,0.9440,0.9240,40.00
807,Fe,K,a,N,25.00,0.9440,0.9260,40.00
808,Fe,K,a,N,30.00,0.9440,0.9270,40.00
809,Nb,L,a,N,4.00,0.9299,0.9042,40.00
810,Nb,L,a,N,6.00,0.9299,0.9068,40.00
811,Nb,L,a,N,8.00,0.9299,0.9097,40.00
812,Nb,L,a,N,10.00,0.9299,0.9120,40.00
813,Nb,L,a,N,12.00,0.9299,0.9130,40.00
814,Nb,L,a,N,15.00,0.9299,0.9140,40.00
815,Nb,L,a,N,20.00,0.9299,0.9158,40.00
816,Nb,L,a,N,25.00,0.9299,0.9162,40.00
817,Nb,L,a,N,30.00,0.9299,0.9165,40.00
818,Mo,L,a,N,4.00,0.9420,0.8964,40.00
819,Mo,L,a,N,6.00,0.9420,0.9023,40.00
820,Mo,L,a,N,8.00,0.9420,0.9078,40.00
821,Mo,L,a,N,10.00,0.9420,0.9122,40.00
822,Mo,L,a,N,12.00,0.9420,0.9163,40.00
823,Mo,L,a,N,15.00,0.9420,0.9220,40.00
824,Mo,L,a,N,20.00,0.9420,0.9268,40.00
825,Mo,L,a,N,25.00,0.9420,0.9360,40.00
826,Mo,L,a,N,30.00,0.9420,0.9399,40.00
