"Jump ratios as computed from the Chantler 2005",,,,"http://physics.nist.gov/PhysRefData/FFast/Text/cover.html"
,,,,,,,,,,,,,,,,"Springer 1967"
,,"K","L1","L2","L3","M1","M2","M3","M4","M5",,"All K","All L","All M",,"All K","All L","All M"
"Pd",46,6.00079,1.13056,1.33796,3.22997,1.03188,1.04376,1.12941,1.37284,2.0889,,6.00079,4.88579492672627,3.48834192490363,,7.03037,1.79128,2
"Ag",47,5.91424,1.13261,1.34647,3.28656,1.03149,1.04308,1.12806,1.37096,2.12326,,5.91424,5.01208743491275,3.53299320369276,,6.95991,1.7839,2
"Cd",48,5.82587,1.13438,1.35626,3.35478,1.03259,1.04402,1.13007,1.49361,3.61986,,5.82587,5.16137673094586,6.58674826977282,,6.89085,1.77658,2
"In",49,5.78266,1.13646,1.36936,3.4062,1.03266,1.04323,1.12531,1.52999,4.58532,,5.78266,5.30080632480672,8.50487319045851,,6.82314,1.76932,2
"Sn",50,5.74493,1.1377,1.37335,3.40252,1.03237,1.04178,1.13022,1.54977,5.55108,,5.74493,5.3163024029434,10.4572891212975,,6.75676,1.76211,2
"Sb",51,5.70108,1.13813,1.37423,3.36678,1.0319,1.04167,1.12166,1.56044,6.33327,,5.70108,5.26582030526752,11.915275253993,,6.69165,1.75497,2
"Te",52,5.65206,1.14448,1.37461,3.31131,1.03186,1.04222,1.12331,1.56201,6.49899,,5.65206,5.20939810065317,12.2633601851886,,6.62778,1.74789,2
"I",53,5.60673,1.13836,1.37246,3.26014,1.03222,1.04448,1.12611,1.55991,6.0648,,5.60673,5.09349135335518,11.4860112912369,,6.56513,1.74086,2
"Xe",54,5.56063,1.13882,1.37131,3.21062,1.03254,1.05377,1.12726,1.5526,5.47605,,5.56063,5.0139458046396,10.4280666611182,,6.50364,1.73388,2
"Cs",55,5.48891,1.13804,1.36903,3.13415,1.0395,1.05658,1.15429,1.52999,4.73581,,5.48891,4.88303986599598,9.18596264661505,,6.4433,1.72697,2
"Ba",56,5.43711,1.13773,1.36738,3.07627,1.03432,1.05374,1.14571,1.52067,4.36389,,5.43711,4.7857816864992,8.28651394250725,,6.38407,1.7201,2
"La",57,5.38115,1.13712,1.35748,2.98269,1.03413,1.053,1.14938,1.4982,4.14481,,5.38115,4.60413295114694,7.77215698374247,,6.32591,1.7133,2
"Ce",58,5.31632,1.13732,1.35629,2.99568,1.03443,1.05407,1.15146,1.50064,4.17451,,5.31632,4.6209434739911,7.86504913863723,,6.26881,1.70654,2
"Pr",59,5.25419,1.13783,1.35953,2.96321,1.03483,1.05402,1.15346,1.50074,4.22372,,5.25419,4.58383109290788,7.97482164670561,,6.21272,1.69984,2
"Nd",60,5.18849,1.13748,1.36558,2.92588,1.04222,1.0651,1.16763,1.50709,3.98452,,5.18849,4.54482774136579,7.78341580096777,,6.15764,1.69319,2
"Pm",61,5.12465,1.13743,1.3655,2.92202,1.0415,1.06605,1.16627,1.51129,4.02996,,5.12465,4.5383665263433,7.88650344521543,,6.10352,1.6866,2
"Sm",62,5.05892,1.13776,1.36606,2.87458,1.04127,1.06571,1.16696,1.51008,4.00064,,5.05892,4.46781143926125,7.82326057025824,,6.05034,1.68005,2
"Eu",63,4.99706,1.13751,1.36612,2.85232,1.04066,1.06529,1.16633,1.51126,3.99161,,4.99706,4.43243443179398,7.79983558652115,,5.99808,1.67356,2
"Gd",64,4.93816,1.1374,1.35621,2.82371,1.04013,1.0656,1.16812,1.5047,3.84801,,4.93816,4.35572304885234,7.49644583335542,,5.94672,1.66711,2
"Tb",65,4.87509,1.13703,1.36616,2.80039,1.03979,1.06686,1.16631,1.50681,3.90202,,4.87509,4.35002754575287,7.60702866586307,,5.89623,1.66072,2
"Dy",66,4.81739,1.13701,1.36554,2.77921,1.03991,1.06584,1.16706,1.50482,3.84861,,4.81739,4.31509214663003,7.49151083906869,,5.84659,1.65437,2
