K-L3,NIST-Chantler 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elm,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U
,Z,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
K,19,17102.02258,9442.365175,5027.118708,35513.66356,18721.0305,10286.7329,5898.223196,3515.509652,2153.250474,1358.258512,885.013652,596.83425,414.974283,295.996843,215.567917,156.379172,1138.775821,870.341117,675.814397,528.972915,416.870428,331.390036,265.701353,214.802789,174.463151,142.282657,116.807942,96.23512,79.501551,66.060686,55.212481,46.373564,39.117697,33.187818,28.264498,24.167817,20.704684,17.761578,15.275447,13.182604,11.413284,9.911936,8.633955,7.541739,6.605544,5.800517,5.10617,4.503748,3.967375,3.500579,3.0932,2.73896,2.430062,2.160192,1.923555,1.715772,1.53312,1.372151,1.230019,1.104209,0.992718,0.893705,0.805663,0.727253,0.657273,0.594736,0.538788,0.488652,0.443537,0.403235,0.366921,0.334139,0.304586,0.277901,0.253762,0.231913,0.212142,0.194189,0.177884,0.163012,0.149368,0.136974,0.125667,0.115334,0.105903,0.097346,0.089497,0.082324,0.075759
Ca,20,23166.00884,13331.61555,6422.003911,36790.24178,21863.67385,12132.30866,7013.596564,4203.119592,2594.185742,1652.616655,1083.98953,730.441826,506.811391,360.777209,262.25333,189.926636,139.233428,1013.603078,777.742854,611.293214,485.419041,386.590803,310.250728,250.815947,204.280289,167.454909,137.752518,113.575015,93.891601,78.073498,65.295656,54.877872,46.32054,39.322586,33.509689,28.669424,24.622417,21.224777,18.350676,15.855167,13.733764,11.932273,10.39795,9.086295,7.96161,6.994066,6.15927,5.434778,4.789882,4.228419,3.73823,3.311782,2.939733,2.61453,2.329222,2.078562,1.858169,1.66389,1.492209,1.34015,1.205369,1.085629,0.979102,0.884186,0.799448,0.723692,0.655884,0.595092,0.540372,0.491473,0.447393,0.407582,0.371678,0.33925,0.309902,0.283321,0.25926,0.237411,0.217562,0.199493,0.182983,0.167969,0.154162,0.141532,0.129999,0.11953,0.109924,0.101148,0.093112
Sc,21,19511.48394,13581.00948,6906.087829,3636.048171,23149.91749,12991.45188,7561.493545,4550.426228,2813.853681,1803.671686,1189.505487,805.479264,558.266268,396.618145,287.787617,208.159074,152.462861,113.659902,573.724503,639.49232,507.842655,407.428762,327.947357,265.476494,216.371897,177.512095,146.555384,121.260126,100.325132,83.463292,69.840636,58.728447,49.596554,42.125661,35.91639,30.743251,26.415864,22.783118,19.715909,17.118871,14.890889,12.971962,11.309342,9.8868,8.666315,7.616006,6.709358,5.922266,5.222167,4.612453,4.079977,3.616502,3.211933,2.858093,2.547522,2.274564,2.034385,1.822515,1.635257,1.469346,1.322219,1.191449,1.075025,0.971239,0.878556,0.795663,0.72143,0.654849,0.594894,0.541293,0.492953,0.449275,0.409869,0.374265,0.342029,0.312827,0.286381,0.26235,0.240509,0.220618,0.202432,0.18589,0.170665,0.156734,0.144009,0.132455,0.12185,0.112154,0.103272
Ti,22,18174.21633,13624.58367,7297.157365,3939.38622,22422.21358,14277.70601,8384.417101,5077.134514,3135.586011,2015.631129,1343.556006,914.62297,637.119236,452.296357,327.826073,237.050813,173.628388,129.455026,98.085275,75.399439,555.733669,445.024058,360.855994,293.101661,239.329992,196.653471,162.588327,134.985739,112.321428,93.658529,78.37466,65.897187,55.644273,47.257455,40.287764,34.482076,29.62595,25.549431,22.107536,19.193964,16.715568,14.599887,12.7899,11.201553,9.822527,8.635369,7.610171,6.719925,5.928731,5.239301,4.636878,4.112314,3.654193,3.253291,2.901231,2.591644,2.319149,2.078689,1.866009,1.677463,1.510169,1.361403,1.228961,1.110852,1.005306,0.910861,0.826247,0.750322,0.681922,0.620746,0.565552,0.515658,0.470626,0.429923,0.393057,0.359635,0.329356,0.30184,0.276823,0.254011,0.233111,0.214096,0.196487,0.180375,0.165667,0.152322,0.140076,0.128885,0.118638
V,23,25689.35665,15737.55276,8307.855763,4473.397501,24816.94527,15641.0295,9263.265322,5640.47498,3490.10291,2243.816829,1494.711864,1026.875531,717.318163,511.184374,370.124977,267.688555,196.165824,146.335208,110.923872,85.316776,66.501872,485.065702,391.151817,319.904277,262.436304,216.006185,178.796814,148.592525,123.919037,103.869854,87.343125,73.463886,62.026528,52.671319,44.898685,38.424824,33.010415,28.465884,24.629621,21.381826,18.619652,16.262111,14.244727,12.511027,11.012488,9.700713,8.556639,7.558293,6.671752,5.899125,5.223911,4.635412,4.121139,3.670893,3.275295,2.927242,2.620711,2.350067,2.110616,1.898254,1.709748,1.542041,1.39266,1.259384,1.140199,1.033498,0.937905,0.852103,0.774761,0.705551,0.643081,0.586587,0.535578,0.489456,0.447666,0.409768,0.375422,0.344193,0.315789,0.289874,0.266115,0.244491,0.224462,0.206129,0.189385,0.174185,0.160232,0.147477,0.135794
Cr,24,28752.14262,17287.97946,9445.71913,5126.725349,2856.204773,15836.66039,10587.43033,6484.891296,4029.640847,2591.935945,1724.990475,1183.97712,833.968752,595.402534,432.03066,312.534965,229.169239,171.045738,129.734119,99.834655,77.866393,61.447087,442.768503,360.044702,296.517934,245.257783,203.291311,169.093579,141.117123,118.418724,99.913876,84.600048,71.579441,60.793203,51.81651,44.339949,38.088115,32.841323,28.412377,24.663458,21.475158,18.754037,16.42627,14.425677,12.701633,11.2116,9.916131,8.783711,7.757087,6.862135,6.079815,5.39786,4.801642,4.279345,3.820126,3.415765,3.059492,2.744795,2.466275,2.219165,1.999695,1.804349,1.630229,1.474808,1.3358,1.211308,1.099722,0.999522,0.909168,0.828284,0.755246,0.689169,0.629484,0.575496,0.526558,0.482165,0.441915,0.405307,0.371999,0.341596,0.313712,0.288325,0.264785,0.243232,0.223542,0.205663,0.189247,0.174234,0.16048
Mn,25,40094.89573,21055.47452,10872.76614,5831.882914,3220.100514,17355.70892,11505.42032,7109.362323,4450.91045,2867.51256,1907.521956,1307.542624,920.920487,662.323394,481.878884,349.681326,256.602555,191.659941,145.458887,112.002518,87.404976,69.018322,55.0976,390.662666,320.263213,265.619668,221.205687,184.200793,153.823398,129.16648,109.06477,92.522293,78.784789,67.230693,57.373779,49.115867,42.200676,36.395583,31.494263,27.344656,23.815483,20.803086,18.224247,16.008018,14.097945,12.446633,11.015125,9.767426,8.656955,7.675428,6.805493,6.044547,5.378558,4.794966,4.281809,3.830006,3.431741,3.079791,2.768117,2.491473,2.245733,2.026949,1.831901,1.657751,1.501973,1.362426,1.237283,1.124869,1.023455,0.932636,0.850621,0.776416,0.709368,0.6487,0.593693,0.543782,0.498518,0.45734,0.419865,0.385651,0.354266,0.325684,0.299187,0.274918,0.252741,0.232599,0.214097,0.197171,0.181658
Fe,26,42648.70726,21433.06052,11658.58232,6457.156264,3625.375742,2137.136088,12400.68261,8015.757914,5089.556371,3290.208721,2188.307512,1498.075399,1053.453173,758.256598,555.131872,404.869761,297.691624,222.425529,168.850606,130.037358,101.486039,80.141461,63.980441,51.596001,360.785341,297.276407,248.219858,207.512992,173.449116,145.678003,123.027958,104.384732,88.934773,76.181954,65.405397,56.13334,48.267071,41.651208,36.054935,31.314953,27.28228,23.83912,20.891473,18.357437,16.172601,14.282684,12.643921,11.215173,9.943088,8.830007,7.853421,6.988073,6.2268,5.552541,4.959504,4.437231,3.976792,3.569847,3.209429,2.889458,2.605059,2.351771,2.125932,1.924251,1.743765,1.582044,1.437001,1.306691,1.189123,1.083826,0.988719,0.902656,0.824876,0.754477,0.690635,0.632695,0.580139,0.532319,0.488789,0.449038,0.412557,0.37933,0.348492,0.320246,0.294432,0.270983,0.249444,0.229743,0.211686
Co,27,43521.96227,21916.65228,12215.58141,6919.203613,3939.259412,2341.084892,12499.61748,8648.602417,5545.889799,3612.555431,2404.707454,1645.943739,1156.685926,831.912425,610.673835,447.685938,330.780421,247.428203,187.800154,144.599483,112.827974,89.075435,71.094833,57.319793,46.642976,321.776804,266.555846,223.648395,187.514538,157.644388,133.116883,112.932365,96.199963,82.39721,70.832862,61.11623,52.769312,45.570439,39.478956,34.302968,29.896079,26.13219,22.908142,20.136076,17.745486,15.67713,13.882848,12.317889,10.923761,9.703792,8.633346,7.696326,6.87302,6.14203,5.494354,4.916944,4.407758,3.95761,3.558833,3.204727,2.890048,2.609758,2.359685,2.13629,1.936354,1.757171,1.596392,1.451902,1.321534,1.20476,1.099252,1.003743,0.917417,0.83928,0.768407,0.704072,0.645706,0.59259,0.544232,0.500067,0.459534,0.422609,0.388363,0.356988,0.328306,0.302245,0.2783,0.25639,0.236303
Ni,28,50776.88082,25758.48455,14127.04833,8057.101162,4606.107584,2739.945652,1703.933703,9888.599951,6327.89613,4180.136509,2791.0515,1916.878217,1346.136654,966.679043,708.620419,521.975007,386.895633,290.731494,221.457138,170.371357,132.78583,104.711627,83.483445,67.234603,54.655663,44.799591,304.240179,254.035908,214.099214,180.129075,151.924518,128.856593,109.747026,93.977664,80.770902,69.683058,60.33538,52.382246,45.444144,39.520744,34.470361,30.153582,26.453711,23.262104,20.505353,18.120405,16.050253,14.244136,12.636425,11.228516,9.992248,8.910007,7.959796,7.124022,6.384706,5.728603,5.142273,4.618053,4.153551,3.740995,3.374322,3.04766,2.756243,2.495877,2.262775,2.053818,1.866282,1.69771,1.54559,1.409305,1.286157,1.174671,1.073869,0.982576,0.899757,0.824587,0.756377,0.694288,0.637748,0.586125,0.538781,0.495638,0.45571,0.419114,0.385646,0.355222,0.327253,0.301646,0.278158
Cu,29,37614.91173,21956.76496,13634.17829,8370.101539,4985.29865,3040.446152,1857.762239,9307.379724,6545.028076,4357.232171,2953.603422,2034.797014,1433.2862,1027.796441,752.560453,553.887934,413.041908,310.753004,237.047819,182.900613,142.452638,112.258287,89.443619,71.99038,58.488052,47.917584,39.569039,263.708368,219.313647,185.224193,157.774359,134.87051,115.154389,98.724132,84.850331,73.14862,63.262146,54.894761,47.782563,41.626631,36.33898,31.79771,27.905424,24.554335,21.659888,19.148751,16.966837,15.061921,13.365262,11.879529,10.574998,9.432352,8.428757,7.545769,6.766099,6.076805,5.465862,4.923181,4.433046,3.993601,3.602874,3.254695,2.944079,2.666517,2.417979,2.195141,1.99516,1.815378,1.653032,1.507519,1.376021,1.256968,1.149306,1.051791,0.963311,0.882986,0.810086,0.743715,0.683267,0.628071,0.577452,0.531316,0.488647,0.449532,0.413744,0.3812,0.351275,0.323872,0.298729
Zn,30,64445.09373,36239.43773,18431.91777,10229.96428,5759.799924,3379.406992,2076.36832,7501.113259,7347.947346,4802.806161,3258.884277,2267.535192,1597.838723,1145.353198,837.833782,614.571217,457.893157,346.925191,266.451385,205.849436,160.615212,126.39426,100.583265,80.862319,65.622325,53.707476,44.252467,36.444826,241.853933,201.53935,170.903044,146.231476,125.707405,107.934535,92.888389,80.15355,69.360132,60.201937,52.401537,45.754601,40.030211,35.084413,30.803004,27.114113,23.92731,21.165753,18.7646,16.666589,14.793247,13.152311,11.711084,10.448601,9.339491,8.363378,7.501281,6.738971,6.064177,5.465385,4.932828,4.458139,4.025739,3.637407,3.290915,2.981236,2.703902,2.4552,2.231942,2.031191,1.849942,1.687488,1.540611,1.407567,1.287232,1.178215,1.079282,0.989453,0.907914,0.833659,0.766017,0.704251,0.647614,0.595982,0.548248,0.50448,0.464431,0.428006,0.394504,0.363816,0.335653
Ga,31,69281.5996,38797.62405,21254.70208,11836.3976,6515.685921,3761.203294,2279.617045,1427.067142,6856.18265,5083.446761,3444.65153,2395.416017,1699.887855,1221.027213,893.34743,654.775136,487.465388,369.104644,283.728389,220.770148,172.690079,136.220133,108.33666,87.048205,70.604123,57.753889,47.561909,39.15734,32.180317,214.630146,179.016116,152.244386,130.742286,113.126698,97.5758,84.318429,73.04614,63.449641,55.247889,48.24279,42.246909,37.093921,32.619975,28.737147,25.370586,22.45179,19.914255,17.696844,15.717561,13.980254,12.451214,11.11153,9.934358,8.898345,7.983063,7.173437,6.456639,5.820465,5.254717,4.750398,4.300456,3.898141,3.529972,3.19875,2.901713,2.635214,2.395957,2.18079,1.986504,1.812342,1.654856,1.512181,1.38314,1.26629,1.160224,1.063846,0.976347,0.896668,0.824078,0.757787,0.696997,0.641568,0.590356,0.543388,0.500397,0.461284,0.425299,0.392335,0.362074
Ge,32,62818.06375,42803.43722,22970.17549,12837.42172,7364.189084,4241.263002,2547.261691,1581.466257,7440.270601,5476.545147,3714.203226,2583.068249,1838.138222,1326.059076,971.450399,712.016861,529.768575,400.85879,307.919748,239.839814,188.825573,149.355601,119.066951,95.608553,77.500606,63.357249,52.149485,42.922659,35.275802,29.187921,195.373436,163.118661,139.077614,120.033999,104.196822,90.351711,78.392439,68.177032,59.416295,51.907405,45.466718,39.929756,35.165269,31.025914,27.426818,24.281391,21.54629,19.155365,17.019196,15.145335,13.49716,12.049504,10.776274,9.654368,8.663125,7.786338,7.009883,6.320593,5.707466,5.16079,4.673006,4.236773,3.846173,3.495888,3.174247,2.883799,2.622522,2.38736,2.175013,1.984645,1.812465,1.656442,1.515299,1.387449,1.271383,1.165946,1.070208,0.983016,0.903571,0.831018,0.76449,0.703819,0.647798,0.59641,0.54936,0.506542,0.46714,0.431034,0.39788
As,33,57604.08276,43988.52048,25602.11751,14172.75401,7976.203786,4695.202849,2851.424929,1759.710737,1085.040694,5200.378841,4019.968003,2799.061564,1989.737078,1443.733916,1059.713577,776.983836,578.062082,437.224532,335.632221,261.262498,205.946682,163.873993,130.964759,105.37847,85.372876,69.758214,57.392436,47.231203,38.824026,32.131114,26.770274,168.146717,150.093472,128.613904,111.289693,96.882018,84.428091,73.533472,64.160629,56.100115,49.168618,43.196795,38.046006,33.596777,29.737104,26.363275,23.410645,20.820705,18.504114,16.471052,14.682028,13.113712,11.734151,10.515273,9.437806,8.484045,7.639313,6.889307,6.222074,5.627063,5.09603,4.621034,4.195712,3.814236,3.47141,3.162917,2.879467,2.622343,2.389729,2.180951,1.992142,1.821076,1.666269,1.525954,1.39855,1.282843,1.177757,1.082002,0.994727,0.915009,0.841901,0.775216,0.713608,0.657086,0.605328,0.55822,0.514864,0.475131,0.438643
Se,34,47814.46268,44722.04187,27511.37904,15439.97894,8657.746663,5056.561273,3074.369236,1922.156427,1180.620051,5544.098446,4247.948394,2961.629529,2107.911285,1527.722608,1128.428531,830.262388,617.145057,466.561429,357.96713,278.378645,219.215963,174.597785,140.258135,113.109831,91.813834,74.978279,61.65714,50.733492,41.713256,34.53079,28.777729,24.120978,23.656772,135.791526,116.625376,101.151888,88.293044,77.32608,67.550824,59.127163,51.866697,45.597454,40.174003,35.48134,31.413381,27.880519,24.786558,22.068467,19.619164,17.469229,15.577019,13.916562,12.455696,11.167936,10.028511,9.018582,8.123039,7.327088,6.618813,5.987062,5.423181,4.918713,4.466872,4.061523,3.697221,3.369348,3.073983,2.807452,2.56157,2.338372,2.136342,1.953122,1.787314,1.637056,1.500603,1.376652,1.264063,1.161437,1.067878,0.982429,0.904084,0.832611,0.766572,0.705974,0.650476,0.599955,0.553449,0.510822,0.47167
Br,35,35035.58124,46250.23279,30187.6846,17236.26588,9716.920756,5681.551243,3455.903614,2158.191775,1345.411868,867.645886,4076.503062,3250.351243,2318.460661,1681.413435,1243.213183,920.018789,685.790368,517.712069,396.759375,308.264402,242.432133,192.838275,155.017259,125.580368,102.087439,83.530109,68.658604,56.488642,46.458422,38.469457,32.068636,26.887401,22.657365,19.21738,128.064536,110.182854,95.801009,83.84933,73.692087,64.617362,56.740456,49.926575,44.014915,38.889522,34.439974,30.568777,27.197634,24.242566,21.576477,19.225346,17.146324,15.322514,13.717769,12.303168,11.051603,9.942758,8.959041,8.084328,7.304674,6.608626,5.987286,5.431327,4.933255,4.486349,4.084631,3.723023,3.397192,3.103115,2.836524,2.596658,2.376056,2.172608,1.988455,1.821514,1.669892,1.532117,1.406957,1.292925,1.18898,1.094017,1.006917,0.927445,0.854083,0.786754,0.725077,0.668921,0.617215,0.569809,0.526257
Kr,36,11733.95748,42454.42871,30673.15265,18636.43047,10594.93825,6203.178582,3770.040783,2347.536398,1460.202685,951.06779,4365.724025,3444.627946,2459.034527,1787.0598,1321.517917,983.418794,735.413031,556.087944,425.294712,329.809253,259.023805,205.646244,165.011908,133.709335,109.114849,89.385701,73.597578,60.539131,49.801852,41.247539,34.392674,28.842393,24.310378,20.624304,17.574725,116.689621,100.594627,87.70202,76.976459,67.790017,59.712949,52.601475,46.416858,41.043179,36.370317,32.297018,28.745592,25.634474,22.866699,20.408661,18.219726,16.284405,14.578411,13.075067,11.745008,10.566654,9.521999,8.593633,7.76646,7.028036,6.367569,5.776231,5.246515,4.77123,4.343968,3.959363,3.61285,3.300119,3.016764,2.761882,2.530302,2.319483,2.126988,1.94892,1.787152,1.640132,1.50654,1.384744,1.273676,1.172204,1.079147,0.99422,0.915777,0.84377,0.777792,0.717708,0.662374,0.611629,0.565001
Rb,37,0,37358.27692,33765.46464,20539.81169,11683.4434,6847.249001,4163.130849,2589.624153,1607.515912,1045.10917,707.622856,3230.263208,2654.804411,1938.304356,1432.605681,1066.705611,803.409075,609.290843,466.374011,361.162308,283.216233,224.648084,180.018346,145.659586,118.921121,97.728738,80.578719,66.423097,54.658069,45.2825,37.767356,31.681221,26.709867,22.666042,19.321168,16.543464,109.262912,94.382268,82.548551,72.644648,64.119948,56.703873,50.089955,44.329872,39.311823,34.928084,31.100422,27.744185,24.756166,22.126934,19.807397,17.722132,15.874788,14.237438,12.789136,11.506551,10.36929,9.358473,8.458335,7.654951,6.936985,6.294236,5.717114,5.199,4.733267,4.314049,3.936389,3.595564,3.28674,3.008947,2.756922,2.527856,2.319673,2.129725,1.956819,1.796241,1.65028,1.517238,1.395909,1.285005,1.183223,1.090314,1.004502,0.925714,0.853507,0.787734,0.727149,0.671581,0.620509
Sr,38,2955.728363,27711.40527,36412.45078,23167.14405,13321.33256,7872.03412,4814.847717,3028.375039,1895.43728,1236.434531,838.634361,3232.038509,2885.330169,2106.54867,1560.520546,1162.028339,877.558139,669.582906,513.678988,398.2411,312.235774,247.456767,198.230523,160.342074,130.840299,107.638386,89.037985,73.578188,60.733117,50.33321,41.993249,35.235617,29.715361,25.222623,21.504984,18.418736,15.842462,102.098495,88.494452,77.598447,68.420224,60.557935,53.671337,47.578897,42.228013,37.541802,33.44347,29.845889,26.637602,23.813858,21.322114,19.127873,17.184359,15.414865,13.848456,12.459405,11.228272,10.134412,9.160327,8.290911,7.514107,6.818679,6.195104,5.635353,5.130929,4.676573,4.267226,3.897793,3.563042,3.261923,2.988747,2.740467,2.515123,2.31032,2.123799,1.952446,1.796468,1.652539,1.520569,1.399975,1.289374,1.188394,1.095116,1.009454,0.93094,0.859414,0.793513,0.733052,0.67747
Y,39,3408.134543,15997.24881,32497.91218,24139.29649,14668.62622,8696.674738,5324.904715,3346.101097,2117.278586,1378.115847,933.059163,653.276557,2722.235409,2277.697907,1692.940393,1261.073754,951.868995,729.613015,562.466287,436.64072,342.420931,271.424705,217.264595,175.642966,143.296843,117.81356,97.546589,80.833428,66.875344,55.58351,46.375829,38.913584,32.814393,27.851219,23.744936,20.335178,17.490646,15.107316,96.187824,83.79065,73.570606,65.015425,57.69785,51.251492,45.579753,40.548824,36.140856,32.266683,28.806433,25.759848,23.070519,20.701705,18.608324,16.750062,15.082668,13.569874,12.229069,11.037767,9.97709,9.030452,8.184926,7.428014,6.749373,6.140162,5.592017,5.098373,4.652447,4.249616,3.884664,3.556408,3.258586,2.987881,2.742182,2.518872,2.315499,2.130219,1.961452,1.806083,1.663676,1.532906,1.411978,1.301555,1.199686,1.10612,1.020327,0.942139,0.870086,0.803973,0.743182
Zr,40,3861.789262,8835.105142,30296.06128,25640.88831,15864.58179,9443.503066,5799.100455,3648.197258,2316.017296,1518.672659,1029.057064,719.761635,2260.825374,2428.073709,1809.260662,1350.32595,1018.726173,780.72636,605.514392,471.735489,370.222248,293.546636,235.14013,190.02683,154.967403,127.420642,105.478499,87.520921,72.612322,60.457498,50.577632,42.430142,35.774533,30.358111,25.876236,22.155946,19.053046,16.453976,14.263964,89.783675,78.37285,69.005359,61.161271,54.372278,48.43993,43.157741,38.498619,34.388468,30.708655,27.467522,24.605369,22.083829,19.855709,17.883872,16.12637,14.553074,13.134071,11.854525,10.715289,9.698544,8.790513,7.977674,7.249165,6.595222,6.006905,5.477072,4.999251,4.567786,4.176061,3.823285,3.50324,3.212358,2.948334,2.708353,2.489788,2.290658,2.109267,1.943535,1.792049,1.652671,1.523422,1.405314,1.295678,1.194915,1.102519,1.01831,0.940686,0.869423,0.803879
Nb,41,5040.862705,3155.821915,25169.44337,27216.57394,17347.86271,10356.54572,6366.74811,4005.964317,2541.617271,1682.197756,1139.149119,796.729949,572.909212,2280.244305,1946.165766,1456.386675,1098.645936,841.041708,652.960943,511.487586,402.141287,318.901796,255.44193,206.609179,168.444434,138.448005,114.593248,95.076775,78.981981,65.939465,55.247502,46.477606,39.178072,33.238732,28.3272,24.250635,20.850222,18.001903,15.602972,13.575532,84.436264,73.937589,65.373521,58.033582,51.679277,46.12549,41.192432,36.822465,32.892675,29.428921,26.367997,23.67068,21.286781,19.17712,17.302873,15.636071,14.137324,12.788855,11.569663,10.473264,9.493647,8.616546,7.83055,7.12497,6.490348,5.918785,5.403341,4.937853,4.515652,4.135592,3.790225,3.475774,3.190355,2.930961,2.694693,2.479371,2.283215,2.103992,1.940168,1.790027,1.651832,1.525412,1.406958,1.297989,1.197947,1.106664,1.022504,0.945241,0.874164
Mo,42,11306.54201,5167.994835,19710.29541,26225.18779,18420.7017,11079.23684,6815.311155,4291.60384,2719.55246,1803.329308,1230.850672,861.540305,619.577967,1748.441051,2055.468944,1544.316182,1164.663665,890.738884,690.828359,542.694044,428.423118,340.233649,272.528484,220.425806,179.878426,147.843692,122.353715,101.520106,84.341219,70.496694,59.226038,49.890843,42.17669,35.776356,30.484683,26.093453,22.431081,19.363739,16.780869,14.597915,12.742157,78.345851,68.862626,60.975016,54.245747,48.421145,43.292662,38.76045,34.634689,30.996113,27.778841,24.943753,22.437565,20.218871,18.247095,16.492821,14.930888,13.536869,12.267049,11.120161,10.084871,9.154763,8.321047,7.57249,6.899173,6.292676,5.745823,5.251936,4.804033,4.400823,4.034534,3.701158,3.398263,3.122392,2.871081,2.642016,2.433312,2.242607,2.068267,1.908438,1.761255,1.626601,1.501338,1.38608,1.279843,1.182546,1.092825,1.010477,0.934705
Tc,43,6099.393297,3664.695496,15279.82019,23038.81354,18455.05956,11815.0186,7321.431957,4635.919903,2932.402707,1944.11079,1339.967997,938.836897,675.607468,497.164068,1910.994786,1643.576757,1243.160983,952.227264,738.310264,579.544011,459.411821,365.736781,293.142595,237.048561,193.447547,159.134994,131.713402,109.267176,90.78677,75.907896,63.839214,53.92241,45.64329,38.817561,33.079365,28.309447,24.332816,21.003288,18.199387,15.82951,13.815833,12.097675,73.53694,64.885326,57.528026,51.329358,45.906439,41.12979,36.798778,32.957188,29.540567,26.529079,23.866515,21.508779,19.413427,17.549386,15.889401,14.407604,13.082708,11.895095,10.799047,9.807193,8.915957,8.115165,7.394823,6.745877,6.160707,5.632142,5.152796,4.721247,4.329289,3.972628,3.648553,3.353479,3.084585,2.838835,2.614899,2.410257,2.223154,2.051611,1.893636,1.74909,1.614798,1.491213,1.377536,1.273622,1.177729,1.089163,1.007656
Ru,44,18922.30932,7866.869324,7794.551981,21563.46329,19582.95777,12677.63512,7871.145793,5002.040578,3188.083294,2101.802853,1444.752128,1017.739819,730.89866,536.868117,1459.138499,1661.972363,1282.327359,1007.137518,780.637078,612.330331,485.881843,388.210164,311.768014,252.109327,205.677519,169.18897,140.127439,116.276336,96.587551,80.752673,67.937677,57.438459,48.743084,41.513349,35.445028,30.348152,26.080019,22.507085,19.498813,16.958011,14.799158,12.957268,11.382591,26.79409,60.451883,53.828927,48.130248,43.153411,38.663059,34.6635,31.091439,27.92509,25.121882,22.640308,20.434617,18.471936,16.724247,15.164268,13.769229,12.518667,11.390934,10.375741,9.439853,8.593421,7.831858,7.145659,6.526821,5.967765,5.460757,5.004269,4.589648,4.21236,3.869592,3.557744,3.273476,3.013505,2.776544,2.559642,2.361176,2.179212,2.011649,1.858313,1.715866,1.584761,1.464323,1.35436,1.252849,1.159126,1.072836
Rh,45,20779.98599,8918.012658,4684.839072,19128.71382,20392.51682,13577.49752,8480.047547,5405.813864,3491.930364,2293.220252,1568.842005,1109.448319,796.735941,584.623343,438.070835,1609.228314,1402.986087,1076.277369,834.442132,654.323675,518.933798,415.591062,334.566388,270.999065,221.063202,181.821016,150.603567,125.026302,103.876826,86.824426,73.038745,61.774908,52.474674,44.788599,38.310599,32.84944,28.247016,24.372362,21.111273,18.357092,16.017385,14.021703,12.316552,10.850134,9.585398,57.139148,50.989406,45.696529,40.977267,36.788847,33.061776,29.709672,26.730819,24.08897,21.741388,19.653324,17.793784,16.133816,14.649194,13.318274,12.124844,11.051954,10.07293,9.188377,8.378621,7.645578,6.984421,6.387057,5.845233,5.357331,4.914183,4.51095,4.144551,3.811153,3.507192,3.229793,2.976862,2.745189,2.53311,2.338541,2.159204,1.995056,1.842548,1.70215,1.573167,1.455394,1.346653,1.246689,1.154596
Pd,46,5632.459527,4063.041703,3069.735162,13264.78668,16850.77831,14223.33103,8964.963367,5738.177849,3717.610796,2458.756696,1676.141715,1183.887779,854.257821,625.622319,466.251448,1210.436936,1496.715841,1136.114151,872.685342,682.628965,542.01832,435.275167,352.316808,285.952446,233.503664,192.039111,159.047627,132.032923,109.724415,91.732576,77.150288,65.241494,55.43755,47.378453,40.595558,34.879226,30.035892,25.928339,22.453806,19.520917,17.029956,14.90556,13.090365,11.530715,10.185357,9.022322,53.28545,47.634351,42.737951,38.383764,34.50146,31.035715,27.955401,25.19204,22.736355,20.55188,18.607155,16.871657,15.319217,13.927383,12.678936,11.556504,10.546628,9.636325,8.797125,8.035472,7.343412,6.71639,6.147604,5.635358,5.170022,4.746529,4.36171,4.011621,3.692383,3.400939,3.135155,2.892036,2.669565,2.465239,2.276578,2.103866,1.943345,1.795546,1.65976,1.535771,1.421271,1.315963,1.218933
