K-L3,NIST-Chantler 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elm,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U
,Z,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
F,9,57492.57704,19453.30939,7078.073784,3134.997042,1533.162934,809.616066,8289.422368,4987.144449,3066.134414,1930.724605,1255.536707,840.414916,577.312801,405.453536,288.303105,205.906881,149.141725,109.778358,81.971059,62.031729,47.515629,36.797462,28.792364,22.743096,18.123398,14.556224,11.773766,9.554608,7.771947,6.361415,5.23946,4.338235,3.60815,3.012239,2.522621,2.121456,1.791556,1.519224,1.293088,1.104669,0.946952,0.814416,0.702664,0.608046,0.527687,0.459202,0.400659,0.350362,0.306437,0.268546,0.235765,0.207441,0.182896,0.161583,0.143008,0.126798,0.112631,0.100218,0.08932,0.079728,0.071277,0.063813,0.057212,0.051364,0.046174,0.04156,0.037454,0.033793,0.030516,0.027603,0.024992,0.022646,0.020542,0.018651,0.016949,0.015415,0.014033,0.012785,0.011657,0.010637,0.009713,0.008876,0.008118,0.007428,0.0068,0.006231,0.005712,0.005238,0.004806
Ne,10,84460.24112,28827.84173,11051.42749,4929.898893,2333.633635,1212.796562,679.289262,6769.154763,4207.406935,2684.13183,1750.652368,1175.626621,809.877583,570.016251,409.090667,296.229989,216.042987,159.346382,119.215092,90.38521,69.358382,53.807187,42.171115,33.365907,26.628735,21.420295,17.349912,14.095302,11.474623,9.399186,7.746863,6.418931,5.34319,4.475225,3.763626,3.178662,2.695,2.292383,1.952529,1.669178,1.431828,1.232215,1.063677,0.920942,0.799661,0.696226,0.607762,0.531732,0.465378,0.408109,0.358539,0.31568,0.278515,0.246219,0.218057,0.193463,0.171955,0.153098,0.136531,0.121942,0.109081,0.097718,0.087661,0.078747,0.070829,0.063787,0.057517,0.051923,0.046913,0.042458,0.038462,0.03487,0.031646,0.028748,0.026137,0.023784,0.021664,0.019747,0.018014,0.016447,0.015028,0.013743,0.012583,0.011526,0.010563,0.009691,0.008892,0.008164,0.007499
Na,11,108409.2798,38819.51784,14733.46919,6573.473065,3183.456669,1656.080999,915.837597,534.042517,5624.076454,3151.072604,2070.412963,1451.435661,1017.525914,716.542636,514.900204,373.28585,274.334686,204.747467,154.928932,117.912958,90.531957,70.272383,55.10657,43.622748,34.832916,28.034232,22.717828,18.463824,15.035757,12.320219,10.158158,8.41963,7.010767,5.873644,4.941195,4.174419,3.541178,3.016202,2.578244,2.211837,1.903849,1.643975,1.424015,1.2368,1.076587,0.93766,0.81879,0.716619,0.627686,0.550866,0.48432,0.426721,0.376736,0.333268,0.295338,0.262194,0.233194,0.207753,0.185387,0.165676,0.148289,0.132915,0.119306,0.107238,0.096509,0.086961,0.078455,0.070864,0.064061,0.058008,0.052576,0.047691,0.043304,0.039358,0.035803,0.032596,0.029705,0.02709,0.024725,0.022583,0.02064,0.018879,0.017281,0.015825,0.014498,0.013298,0.012198,0.011196,0.010281
Mg,12,138009.3842,51835.16414,20094.49651,9065.588191,4385.093773,2292.004804,1279.528244,746.844676,445.330645,4290.647913,2735.195463,1851.629757,1301.589855,931.416244,671.675841,487.873381,359.187501,268.540364,203.541376,156.250771,121.335476,94.760957,74.393334,58.954382,47.124902,37.965163,30.796388,25.054907,20.423711,16.751387,13.824866,11.468894,9.558706,8.015412,6.748778,5.706377,4.844749,4.129813,3.533016,3.033332,2.612929,2.257896,1.957247,1.701489,1.483277,1.296483,1.136094,0.997682,0.876108,0.770155,0.677554,0.597385,0.527775,0.467206,0.414314,0.368058,0.32756,0.29201,0.26073,0.233143,0.208781,0.187227,0.168135,0.151197,0.136133,0.122722,0.110768,0.100094,0.090526,0.082009,0.074361,0.06748,0.061299,0.055737,0.050722,0.046198,0.042118,0.038427,0.035085,0.032058,0.029311,0.026821,0.024561,0.022499,0.020621,0.01892,0.017363,0.015943,0.014645
Al,13,119676.3326,63036.87282,25408.48181,11621.89163,5677.988456,2988.727649,1675.935878,984.944662,592.899307,372.026167,3301.58271,2227.538668,1548.032746,1107.808046,807.634564,590.423126,435.335027,325.921267,247.36194,190.138345,147.837085,116.151365,92.146901,73.555719,58.862789,47.473462,38.552091,31.406843,25.643129,21.065435,17.411387,14.466511,12.073982,10.139258,8.548813,7.238171,6.153367,5.252069,4.498834,3.867281,3.335347,2.885629,2.504245,2.179491,1.902116,1.664407,1.460078,1.283546,1.128207,0.993473,0.876281,0.774571,0.685971,0.60811,0.539818,0.479663,0.426984,0.380731,0.340034,0.304139,0.272449,0.244407,0.219558,0.197505,0.177892,0.160425,0.144842,0.130922,0.118437,0.10732,0.097335,0.088349,0.080275,0.073008,0.066455,0.060541,0.055206,0.050379,0.046008,0.042049,0.038454,0.035195,0.032235,0.029536,0.027076,0.024849,0.022808,0.020947,0.019246
Si,14,111468.8586,76411.28449,32909.42653,15325.7455,7544.104498,3984.164406,2235.731955,1311.971118,784.92182,493.083724,322.800373,2755.272787,1929.214292,1376.518184,1005.904552,741.962945,553.319778,414.877138,314.747736,241.8417,187.967312,147.623346,117.082805,93.695265,75.605562,61.375793,49.919979,40.718849,33.297351,27.393898,22.675356,18.867207,15.769028,13.25907,11.193872,9.490024,8.078021,6.903372,5.92036,5.095263,4.399476,3.810537,3.310598,2.884395,2.519975,2.207347,1.938364,1.705682,1.500161,1.321706,1.166317,1.031418,0.91394,0.811407,0.721613,0.642867,0.573729,0.512871,0.458482,0.410143,0.367456,0.329677,0.296197,0.266479,0.240044,0.216499,0.1955,0.176743,0.159917,0.144932,0.131471,0.119356,0.108468,0.098671,0.089834,0.081859,0.074665,0.068152,0.062255,0.056913,0.05206,0.047659,0.043663,0.040017,0.036693,0.033682,0.030924,0.028407,0.026106
P,15,6725.971485,75145.95098,38863.63975,18584.44302,9249.229909,4905.574202,2754.440188,1612.864471,960.836759,601.529587,392.782249,265.702448,2203.294285,1585.655592,1156.769717,855.415642,640.909574,486.875483,372.044138,285.818536,222.129376,174.443614,138.342256,110.704129,89.320908,72.614859,59.431092,48.757955,39.988417,32.937464,27.29493,22.735772,19.02304,16.012525,13.53274,11.484376,9.785138,8.37027,7.185172,6.189601,5.349252,4.637278,4.032346,3.516266,3.07464,2.695432,2.368878,2.086061,1.835128,1.617097,1.427122,1.262128,1.118426,0.99303,0.8832,0.786864,0.702283,0.627831,0.562156,0.504084,0.452686,0.407093,0.366209,0.329786,0.297222,0.268169,0.242248,0.219084,0.198301,0.179787,0.16315,0.148171,0.134703,0.122576,0.111634,0.101754,0.092837,0.084762,0.077449,0.070821,0.064802,0.059342,0.054385,0.049861,0.045737,0.041998,0.038572,0.035445,0.032585
S,16,8641.627355,88972.04378,46621.06801,22991.31782,11622.6421,6220.594654,3506.387861,2054.368183,1222.327994,764.648046,499.133966,337.665476,235.586041,1889.595647,1388.89111,1031.573465,773.439566,588.385238,453.272289,353.169073,274.751033,215.978153,171.435008,137.315389,110.89737,90.236685,73.914682,60.765396,50.0958,41.504415,34.497807,28.752235,24.071042,20.272669,17.142486,14.555028,12.407657,10.619125,9.120397,7.860595,6.796662,5.894828,5.128285,4.473971,3.913792,3.432618,3.018102,2.658915,2.339708,2.06221,1.820293,1.610192,1.427169,1.267358,1.127383,1.00462,0.896808,0.801883,0.718135,0.644069,0.578503,0.52033,0.468647,0.422658,0.381647,0.34503,0.312101,0.282571,0.255937,0.232137,0.21074,0.191464,0.174128,0.158515,0.144423,0.131694,0.120202,0.10979,0.100354,0.091799,0.08402,0.076962,0.070538,0.064673,0.059326,0.054479,0.050037,0.045982,0.042275
Cl,17,12716.73117,6508.467168,51602.12292,25880.80589,13315.9402,7201.728017,4086.454627,2407.38042,1438.865546,901.230774,588.773759,398.537915,278.167588,199.182433,1532.798804,1141.9336,863.272642,657.24102,506.137376,394.531075,310.695024,245.75947,195.251267,156.522615,126.519663,103.028846,84.461842,69.488682,57.329279,47.573705,39.709594,33.294229,27.971287,23.569998,19.941155,16.940398,14.448811,12.372311,10.630934,9.166676,7.929655,6.880718,5.988716,5.226971,4.574518,4.013802,3.530619,3.11178,2.739416,2.415558,2.133097,1.887686,1.673819,1.487042,1.323356,1.179699,1.053513,0.942387,0.844295,0.757506,0.680653,0.612444,0.551812,0.49784,0.4497,0.406704,0.368255,0.333818,0.302846,0.275192,0.250174,0.22749,0.207033,0.188494,0.171758,0.156638,0.142984,0.130615,0.119406,0.10924,0.099997,0.091608,0.083979,0.077013,0.07066,0.0649,0.05962,0.0548,0.050391
Ar,18,9631.482475,6855.382384,53578.66267,28860.4194,14998.81086,8163.555119,4644.502144,2737.896578,1652.389137,1036.667282,676.791348,457.64242,319.022182,228.109717,166.518566,1230.312118,931.843995,713.12206,550.221707,428.788786,337.600527,268.343438,214.929282,172.558523,139.569666,113.739149,93.303803,76.815989,63.417033,52.660028,43.983013,36.917677,31.120273,26.385776,22.394956,19.047881,16.253588,13.923276,11.968458,10.324589,8.935154,7.756362,6.753515,5.896792,5.162722,4.531658,3.987645,3.515909,3.096445,2.731489,2.413067,2.13632,1.89505,1.684256,1.499461,1.337238,1.194647,1.068997,0.958092,0.859949,0.772987,0.695771,0.627115,0.565979,0.511432,0.462696,0.419097,0.380031,0.344885,0.313496,0.285216,0.259689,0.236682,0.215914,0.19713,0.179865,0.164265,0.150057,0.137153,0.125452,0.114813,0.105161,0.096374,0.088353,0.081039,0.074412,0.068339,0.062796,0.057728
